gene	logFC	logCPM	LR	PValue	FDR
ENSRNOT00000020926.5	5.411	6.594	1842.871	0	0
ENSRNOT00000005311.6	3.463	6.643	1004.033	0	0
ENSRNOT00000073850.3	3.774	6.348	1000.928	0	0
ENSRNOT00000004956.4	2.64	6.525	607.693	0	0
ENSRNOT00000016423.6	3.036	5.986	564.21	0	0
ENSRNOT00000018630.5	-1.87	6.864	366.971	0	0
ENSRNOT00000054976.4	-10.49	3.028	340.928	0	0
ENSRNOT00000024757.4	4.771	4.255	337.062	0	0
ENSRNOT00000028064.5	-4.911	3.757	274.192	0	0
ENSRNOT00000059892.4	4.348	4.05	269.061	0	0
ENSRNOT00000037510.5	-9.651	2.156	214.833	0	0
ENSRNOT00000045315.4	2.425	5.072	194.785	0	0
ENSRNOT00000020532.7	3.482	3.923	181.764	0	0
ENSRNOT00000009556.7	1.653	5.914	181.001	0	0
ENSRNOT00000089292.1	3.016	4.376	180.946	0	0
ENSRNOT00000089564.1	3.016	4.376	180.946	0	0
ENSRNOT00000034599.1	-7.889	1.808	160.27	0	0
ENSRNOT00000065494.1	3.092	4.052	159.483	0	0
ENSRNOT00000079115.1	3.488	3.475	152.909	0	0
ENSRNOT00000075476.2	3.108	3.905	150.282	0	0
ENSRNOT00000079456.1	1.457	5.967	147.563	0	0
ENSRNOT00000007747.7	2.943	4.016	144.774	0	0
ENSRNOT00000080246.1	3.51	3.228	141.678	0	0
ENSRNOT00000014317.5	1.427	5.965	141.609	0	0
ENSRNOT00000057880.4	4.06	2.63	139.567	0	0
ENSRNOT00000079744.1	3.282	3.477	138.825	0	0
ENSRNOT00000082562.1	3.304	3.341	134.024	0	0
ENSRNOT00000083702.1	1.546	5.666	132.427	0	0
ENSRNOT00000006109.4	3.255	3.334	130.68	0	0
ENSRNOT00000074226.3	3.185	3.053	114.423	0	0
ENSRNOT00000084171.1	3.127	3.046	110.602	0	0
ENSRNOT00000014657.4	3.244	2.884	110.321	0	0
ENSRNOT00000006624.7	3.792	2.336	109.912	0	0
ENSRNOT00000024736.7	2.824	3.34	103.842	0	0
ENSRNOT00000073042.3	3.581	2.374	102.601	0	0
ENSRNOT00000015692.2	3.871	2.061	96.318	0	0
ENSRNOT00000006070.6	2.571	3.548	94.893	0	0
ENSRNOT00000042688.2	-1.165	5.94	94.121	0	0
ENSRNOT00000001695.6	1.668	4.898	86.868	0	0
