gene	logFC	FDR	gExp_up_in_female	V7
ENSRNOT00000000139.7	2.239	0.009	FALSE	Kpna6
ENSRNOT00000001133.5	0.325	0.048	FALSE	Prrc2a
ENSRNOT00000001437.6	-5.395	0.049	TRUE	Daglb
ENSRNOT00000002376.8	7.292	0	FALSE	Clcn2
ENSRNOT00000002520.7	-0.358	0.011	TRUE	Mrps35
ENSRNOT00000002636.7	-6.992	0.001	TRUE	Tp63
ENSRNOT00000003791.6	-0.852	0	TRUE	LOC100910414
ENSRNOT00000004390.6	1.988	0.025	FALSE	Fbxw10
ENSRNOT00000004780.4	5.59	0.043	FALSE	Ephx1
ENSRNOT00000004798.6	-1.517	0.003	TRUE	RGD1561381
ENSRNOT00000004901.7	-0.402	0.04	TRUE	Tbl1x
ENSRNOT00000004956.4	-1.273	0	TRUE	Col3a1
ENSRNOT00000005289.7	0.565	0.009	FALSE	Rab3gap1
ENSRNOT00000005311.6	-1.127	0	TRUE	Col1a1
ENSRNOT00000005432.5	-0.589	0.045	TRUE	AABR07016056.1
ENSRNOT00000006128.5	5.741	0.033	FALSE	Wars
ENSRNOT00000006339.6	6.164	0.013	FALSE	Dlk1
ENSRNOT00000006403.7	7.709	0	FALSE	Rock2
ENSRNOT00000006574.6	-3.454	0.018	TRUE	Fancm
ENSRNOT00000006624.7	2.817	0	FALSE	Nalcn
ENSRNOT00000006991.5	-6.996	0	TRUE	Tfap2c
ENSRNOT00000007398.4	7.979	0	FALSE	Myh9
ENSRNOT00000007638.7	5.572	0.044	FALSE	Abcg8
ENSRNOT00000007657.5	-7.353	0	TRUE	LOC100910771
ENSRNOT00000008319.8	6.487	0.006	FALSE	Cd36
ENSRNOT00000008705.7	-5.44	0.046	TRUE	Yipf6
ENSRNOT00000008857.7	-5.521	0.04	TRUE	Slc12a1
ENSRNOT00000009041.6	8.327	0	FALSE	Chrna4
ENSRNOT00000009094.4	-0.908	0.03	TRUE	Ndnf
ENSRNOT00000009240.5	6.366	0.008	FALSE	Tg
ENSRNOT00000009419.3	6.924	0.002	FALSE	AABR07056556.2
ENSRNOT00000009556.7	1.208	0	FALSE	Hsp90aa1
ENSRNOT00000010247.5	-2.283	0.004	TRUE	Frzb
ENSRNOT00000010289.4	-0.984	0.027	TRUE	Apold1
ENSRNOT00000010743.7	-1.324	0.002	TRUE	RGD1309108
ENSRNOT00000011521.4	-1.415	0.005	TRUE	Mogs
ENSRNOT00000012538.5	-7.504	0	TRUE	Tbx21
ENSRNOT00000013366.7	-6.703	0.001	TRUE	Abcc4
ENSRNOT00000013530.5	-1.1	0.003	TRUE	Eomes
ENSRNOT00000013546.6	-1.306	0	TRUE	Prrc2b
ENSRNOT00000014464.7	-0.415	0.037	TRUE	Anxa6
ENSRNOT00000014639.6	-1.969	0.043	TRUE	Nmb
ENSRNOT00000014916.6	-6.38	0.006	TRUE	LOC100910164
ENSRNOT00000015127.5	6.972	0.002	FALSE	Slc7a2
ENSRNOT00000015172.7	-6.047	0	TRUE	Mcc
ENSRNOT00000015393.5	1.441	0.028	FALSE	Tpp2
ENSRNOT00000015517.5	-6.696	0.003	TRUE	Kbtbd6
ENSRNOT00000016474.3	-8.225	0	TRUE	Galnt7
ENSRNOT00000016645.6	-5.752	0.025	TRUE	Col17a1
ENSRNOT00000016838.6	0.687	0	FALSE	Rhobtb3
ENSRNOT00000017224.6	-2.035	0	TRUE	Parp3
ENSRNOT00000017383.5	5.611	0.041	FALSE	Kat6b
ENSRNOT00000017708.5	-1.493	0	TRUE	Pdcd5
ENSRNOT00000017749.6	-8.053	0	TRUE	Cfh
ENSRNOT00000017859.5	-5.694	0.028	TRUE	Ccdc150
ENSRNOT00000018126.3	-3.314	0	TRUE	Csnk1e
ENSRNOT00000018272.8	6.891	0.002	FALSE	Tle4
ENSRNOT00000018339.6	-6.887	0.002	TRUE	Ruvbl1
ENSRNOT00000018630.5	-1.81	0	TRUE	Cdhr1
ENSRNOT00000018794.8	0.315	0.046	FALSE	Rasgrf1
ENSRNOT00000018828.3	-6.192	0.01	TRUE	Sp7
ENSRNOT00000019265.6	0.358	0.012	FALSE	Arpc2
ENSRNOT00000020328.5	-5.399	0.049	TRUE	Mcfd2
ENSRNOT00000020926.5	-2.171	0	TRUE	Ptgds
ENSRNOT00000021223.4	2.156	0	FALSE	Arhgap35
ENSRNOT00000021322.4	6.486	0.006	FALSE	P3h4
ENSRNOT00000021456.2	-0.74	0.008	TRUE	Gipr
ENSRNOT00000021877.5	-6.924	0.001	TRUE	Rpp40
ENSRNOT00000021996.4	5.258	0.008	FALSE	AABR07067506.1
ENSRNOT00000022113.4	-2.236	0	TRUE	Ttr
ENSRNOT00000022669.6	-9.408	0	TRUE	Phf2
ENSRNOT00000023366.6	-5.915	0.018	TRUE	Rnpc3
ENSRNOT00000023376.4	-2.657	0	TRUE	Phrf1
ENSRNOT00000023601.7	-0.886	0.05	TRUE	Ryr2
ENSRNOT00000023611.6	-0.389	0.011	TRUE	Tubb2a
ENSRNOT00000024427.6	0.775	0	FALSE	Cd99l2
ENSRNOT00000024978.6	-0.884	0	TRUE	Cpne6
ENSRNOT00000025037.8	-0.644	0.044	TRUE	Svil
ENSRNOT00000025217.6	-0.334	0.019	TRUE	Rpl17
ENSRNOT00000025290.5	5.984	0.02	FALSE	LOC100911519
ENSRNOT00000025446.6	9.435	0	FALSE	Echs1
ENSRNOT00000025845.4	-0.808	0.033	TRUE	Lipa
ENSRNOT00000029458.6	1.35	0	FALSE	Smarcb1
ENSRNOT00000029878.6	-6.853	0.002	TRUE	Ptprc
ENSRNOT00000032802.4	-0.605	0.033	TRUE	Gimap9
ENSRNOT00000033968.7	-7.946	0	TRUE	Frmd7
ENSRNOT00000034216.6	5.651	0.039	FALSE	Mamdc2
ENSRNOT00000034599.1	-6.69	0	TRUE	LOC100362965
ENSRNOT00000034957.6	-3.167	0	TRUE	Tnnt1
ENSRNOT00000035001.6	-1.061	0.006	TRUE	n/a
ENSRNOT00000035100.5	-1.505	0	TRUE	Ndst2
ENSRNOT00000035217.4	5.786	0.03	FALSE	Zfp78
ENSRNOT00000036247.6	-7.1	0	TRUE	Dusp11
ENSRNOT00000036814.5	-1.039	0.001	TRUE	Usp32
ENSRNOT00000037199.5	-1.3	0	TRUE	Arpp21
ENSRNOT00000037226.5	-4.092	0.001	TRUE	Ms4a15
ENSRNOT00000037482.3	-3.221	0.045	TRUE	Ly6g6e
ENSRNOT00000037752.3	-1.518	0	TRUE	Ppp1r1b
ENSRNOT00000037974.6	2.859	0	FALSE	Map2
ENSRNOT00000038729.2	-7.131	0.001	TRUE	RGD1307100
ENSRNOT00000038826.3	-6.171	0.01	TRUE	Tbccd1
ENSRNOT00000038927.5	-0.342	0.014	TRUE	Rpl9
ENSRNOT00000041130.5	-2.751	0	TRUE	Itpr1
ENSRNOT00000042006.4	-1.673	0.04	TRUE	Stag3
ENSRNOT00000042072.6	-4.589	0.019	TRUE	Trdn
ENSRNOT00000042230.5	-7.373	0	TRUE	Slc8a1
ENSRNOT00000042331.4	-7.294	0	TRUE	Med13l
ENSRNOT00000042688.2	-1.254	0	TRUE	LOC100362027
ENSRNOT00000046010.3	-3.699	0	TRUE	LOC100360679
ENSRNOT00000046849.5	-6.136	0.011	TRUE	Ntrk3
ENSRNOT00000047053.6	-1.252	0	TRUE	Srebf1
ENSRNOT00000048318.5	5.606	0.042	FALSE	Man2c1
ENSRNOT00000048694.4	0.989	0.009	FALSE	AC105577.1
ENSRNOT00000048929.3	-5.589	0.035	TRUE	Tgif2-ps1
ENSRNOT00000048977.3	-0.418	0.001	TRUE	Hba2
ENSRNOT00000050722.1	1.158	0	FALSE	LOC500035
ENSRNOT00000050927.6	0.726	0.008	FALSE	Clcn2
ENSRNOT00000050931.3	2.295	0.032	FALSE	LOC687679
ENSRNOT00000051060.5	3.171	0	FALSE	Grik1
ENSRNOT00000051483.3	-0.398	0.001	TRUE	Hba1
ENSRNOT00000051497.5	6.889	0.002	FALSE	Abcc3
ENSRNOT00000052270.6	1.706	0	FALSE	RT1-A2
ENSRNOT00000054976.4	-12.017	0	TRUE	Actg1
ENSRNOT00000055963.3	1.003	0.038	FALSE	Slfn13
ENSRNOT00000056178.4	-6.781	0.002	TRUE	Fam227a
ENSRNOT00000057587.2	0.599	0	FALSE	Rpl30
ENSRNOT00000057623.1	-2.578	0	TRUE	LOC680227
ENSRNOT00000057724.4	-1.471	0.003	TRUE	Plch1
ENSRNOT00000057939.3	6.187	0.013	FALSE	Tet1
ENSRNOT00000058068.5	5.907	0.024	FALSE	Poln
ENSRNOT00000058727.4	2.92	0.043	FALSE	Nrg1
ENSRNOT00000061516.5	-2.89	0	TRUE	Clasp1
ENSRNOT00000061786.4	-1.134	0.019	TRUE	Eif3h
ENSRNOT00000062052.4	-4.372	0.001	TRUE	Cast
ENSRNOT00000062054.5	1.43	0	FALSE	Cast
ENSRNOT00000064331.4	-0.675	0.038	TRUE	Svil
ENSRNOT00000064395.4	-5.722	0.027	TRUE	Mga
ENSRNOT00000064613.4	5.785	0.03	FALSE	Tln2
ENSRNOT00000064785.3	6.194	0.011	FALSE	Ptprc
ENSRNOT00000065224.1	-3.522	0.016	TRUE	Thbs4
ENSRNOT00000065288.1	-0.445	0.012	TRUE	Nrip3
ENSRNOT00000065584.3	0.476	0.003	FALSE	Hnrnpab
