gene	Female_mean	Male_mean	theta	prob	log2FC
ENSRNOT00000025446.6	0.006	102.135	-3.731	1.000	-14.143
ENSRNOT00000054976.4	517.522	0.335	2.491	1.000	10.593
ENSRNOT00000057623.1	1441.517	268.723	2.496	1.000	2.423
ENSRNOT00000058068.5	0.000	6.766	-4.010	1.000	-19.808
ENSRNOT00000075940.1	834.130	21.551	3.960	1.000	5.274
ENSRNOT00000076538.1	795.266	33.268	2.847	1.000	4.579
ENSRNOT00000087861.1	31.308	0.008	3.113	1.000	11.908
ENSRNOT00000088593.1	0.500	2265.800	-8.862	1.000	-12.146
ENSRNOT00000090390.1	0.000	2.333	-3.982	1.000	-21.089
ENSRNOT00000082648.1	0.500	631.539	-6.222	1.000	-10.303
ENSRNOT00000007657.5	20.550	0.002	3.045	1.000	13.691
ENSRNOT00000086056.1	1.333	1956.493	-6.279	1.000	-10.519
ENSRNOT00000022669.6	81.253	0.000	4.000	1.000	17.584
ENSRNOT00000009240.5	0.000	11.333	-6.314	1.000	-25.342
ENSRNOT00000008857.7	5.834	0.000	3.096	1.000	13.815
ENSRNOT00000066726.2	0.000	4.000	-6.465	1.000	-25.072
ENSRNOT00000092078.1	1.500	2066.873	-5.946	1.000	-10.428
ENSRNOT00000088616.1	5.131	496.784	-3.042	1.000	-6.597
ENSRNOT00000092178.1	0.500	26.369	-3.481	1.000	-5.721
ENSRNOT00000086550.1	0.000	59.339	-7.091	1.000	-21.292
ENSRNOT00000091100.1	61.774	0.267	2.168	1.000	7.854
ENSRNOT00000021877.5	14.251	0.500	2.536	1.000	4.833
ENSRNOT00000091696.1	0.500	57.794	-2.472	1.000	-6.853
ENSRNOT00000083617.1	37.679	0.500	1.988	1.000	6.236
ENSRNOT00000079225.1	15.815	0.500	2.355	1.000	4.983
ENSRNOT00000072762.3	0.022	37.703	-2.343	1.000	-10.716
ENSRNOT00000015127.5	0.500	16.791	-1.939	1.000	-5.070
ENSRNOT00000089650.1	0.500	5.212	-1.937	1.000	-3.382
ENSRNOT00000009041.6	0.333	45.485	-1.744	1.000	-7.092
ENSRNOT00000016474.3	34.282	0.167	1.634	1.000	7.684
ENSRNOT00000088312.1	0.500	14.502	-1.716	1.000	-4.858
ENSRNOT00000072786.2	15.014	0.008	2.328	1.000	10.792
ENSRNOT00000017749.6	33.148	0.500	2.020	1.000	6.051
ENSRNOT00000034599.1	217.553	2.100	1.647	1.000	6.695
ENSRNOT00000009419.3	0.500	16.903	-1.704	1.000	-5.079
ENSRNOT00000029878.6	13.426	0.500	1.591	1.000	4.747
ENSRNOT00000071846.2	0.500	16.788	-1.701	1.000	-5.069
ENSRNOT00000007398.4	0.120	56.415	-1.913	0.999	-8.881
ENSRNOT00000088272.1	0.500	6.988	-1.578	0.999	-3.805
ENSRNOT00000088534.1	0.500	6.988	-1.578	0.999	-3.805
ENSRNOT00000089138.1	39.013	0.333	1.818	0.998	6.871
ENSRNOT00000066268.1	0.500	4.102	-1.692	0.998	-3.036
ENSRNOT00000082036.1	0.500	32.383	-1.384	0.997	-6.017
ENSRNOT00000021322.4	0.500	12.575	-1.387	0.996	-4.652
ENSRNOT00000086999.1	10.013	0.393	1.814	0.996	4.670
ENSRNOT00000051060.5	18.445	177.607	-1.391	0.993	-3.267
ENSRNOT00000083841.1	0.003	1.642	-1.902	0.991	-9.148
ENSRNOT00000075947.2	6655.740	8566.260	-1.394	0.991	-0.364
ENSRNOT00000074261.2	0.500	10.850	-1.295	0.991	-4.440
