Name TPM
ENSRNOT00000047550.4 6699.62
ENSRNOT00000040993.4 5329.59
ENSRNOT00000050156.3 16641.8
ENSRNOT00000043693.3 12468.2
ENSRNOT00000046201.3 31305
ENSRNOT00000046108.3 16849
ENSRNOT00000049683.3 13927.5
ENSRNOT00000041241.3 3995.99
ENSRNOT00000044582.3 8188.45
ENSRNOT00000042928.3 4992.03
ENSRNOT00000048767.3 2645.44
ENSRNOT00000051268.3 3168.41
ENSRNOT00000042098.3 8405.2
ENSRNOT00000003077.5 42.0194
ENSRNOT00000065879.1 6.0794
ENSRNOT00000077666.1 4.34565
ENSRNOT00000087911.1 0
ENSRNOT00000058131.4 188.606
ENSRNOT00000017862.4 22.3157
ENSRNOT00000089318.1 4.69402
ENSRNOT00000011892.7 58.3837
ENSRNOT00000027093.6 64.2732
ENSRNOT00000032664.7 0.202796
ENSRNOT00000080032.1 36.7283
ENSRNOT00000011386.7 1.41405
ENSRNOT00000026070.6 47.1546
ENSRNOT00000083408.1 6.86774
ENSRNOT00000038055.6 35.2273
ENSRNOT00000022923.6 0
ENSRNOT00000071786.2 0.33334
ENSRNOT00000084637.1 17.2112
ENSRNOT00000048293.4 8.80519
ENSRNOT00000041789.2 1073.5
ENSRNOT00000020384.2 6.25543
ENSRNOT00000088867.1 0
ENSRNOT00000001227.6 249.819
ENSRNOT00000061323.1 0
ENSRNOT00000079988.1 11.3421
ENSRNOT00000060765.4 1.55099
ENSRNOT00000088529.1 15.5063
ENSRNOT00000064255.1 0.0272386
ENSRNOT00000025183.2 27.3788
ENSRNOT00000013503.5 0.0477307
ENSRNOT00000020493.5 3.12416
ENSRNOT00000010633.5 55.36
ENSRNOT00000064594.3 0.599616
ENSRNOT00000085673.1 0
ENSRNOT00000010714.5 31.4931
ENSRNOT00000024714.7 25.2224
ENSRNOT00000064565.1 0
ENSRNOT00000081206.1 147.045
ENSRNOT00000083426.1 6.51447
ENSRNOT00000066115.3 10.0591
ENSRNOT00000080712.1 11.7671
ENSRNOT00000017805.6 21.8727
ENSRNOT00000035512.6 1.30772
ENSRNOT00000061029.4 5.16923
ENSRNOT00000090178.1 0
ENSRNOT00000052157.5 8.69747
ENSRNOT00000066120.3 67.8196
ENSRNOT00000026633.7 34.7403
ENSRNOT00000084562.1 0
ENSRNOT00000029829.4 52.7336
ENSRNOT00000048351.5 0
ENSRNOT00000072923.1 0.0366638
ENSRNOT00000072173.1 0.211945
ENSRNOT00000012086.6 5.251
ENSRNOT00000074117.2 0.226442
ENSRNOT00000024779.6 112.883
ENSRNOT00000013786.6 0.0782953
ENSRNOT00000024975.4 27.6956
ENSRNOT00000064705.3 10.8742
ENSRNOT00000090572.1 24.6089
ENSRNOT00000012480.5 2.95697
ENSRNOT00000085488.1 5.67568
ENSRNOT00000077537.1 0
ENSRNOT00000018425.7 24.3913
ENSRNOT00000045053.3 41.379
ENSRNOT00000058330.4 0
ENSRNOT00000092198.1 0.0820875
ENSRNOT00000021372.6 324.174
ENSRNOT00000084129.1 13.5
ENSRNOT00000087671.1 5.41244
ENSRNOT00000085905.1 32.7736
ENSRNOT00000013233.4 9.9307
ENSRNOT00000082684.1 1.25829
ENSRNOT00000044250.1 0.0684963
ENSRNOT00000089007.1 45.3957
ENSRNOT00000004319.3 55.9384
ENSRNOT00000026437.4 1.77126
ENSRNOT00000029111.5 9.6716
ENSRNOT00000000891.5 25.341
ENSRNOT00000079725.1 0
ENSRNOT00000077256.1 4.37785
ENSRNOT00000056221.2 0.646176
ENSRNOT00000072548.2 0
ENSRNOT00000010229.6 21.9016
ENSRNOT00000072353.1 0
ENSRNOT00000061975.1 18.4235
ENSRNOT00000018098.5 51.7731
ENSRNOT00000003188.5 30.9263
ENSRNOT00000022265.5 1.26577
ENSRNOT00000082463.1 17.6483
ENSRNOT00000022362.7 0.434288
ENSRNOT00000090938.1 9.44569
ENSRNOT00000047881.1 0.693221
ENSRNOT00000022138.6 89.3916
ENSRNOT00000081472.1 0.101953
ENSRNOT00000079430.1 0
ENSRNOT00000009931.5 18.2884
ENSRNOT00000031164.3 132.999
ENSRNOT00000044613.4 73.5783
ENSRNOT00000051449.4 0
ENSRNOT00000032106.6 1.12434
ENSRNOT00000010520.2 0
ENSRNOT00000041421.5 0
ENSRNOT00000022540.6 72.1576
ENSRNOT00000028011.5 5.88869
ENSRNOT00000049858.3 0
ENSRNOT00000063987.2 1.51528
ENSRNOT00000030757.5 20.1585
ENSRNOT00000077865.1 0
ENSRNOT00000016037.6 4.932
ENSRNOT00000013910.7 26.7277
ENSRNOT00000013937.5 126.509
ENSRNOT00000048463.2 0
ENSRNOT00000020544.7 50.756
ENSRNOT00000085454.1 0
ENSRNOT00000034525.5 0
ENSRNOT00000070794.1 59.2549
ENSRNOT00000072384.2 51.4655
ENSRNOT00000085961.1 9.70033
ENSRNOT00000026091.4 101.831
ENSRNOT00000046220.5 0
ENSRNOT00000008254.6 3.75877
ENSRNOT00000008854.6 18.3393
ENSRNOT00000041532.3 0.161562
ENSRNOT00000015150.3 0.156878
ENSRNOT00000086498.1 0.54806
ENSRNOT00000012611.5 49.5225
ENSRNOT00000086541.1 23.3956
ENSRNOT00000000312.5 0
ENSRNOT00000040801.1 0
ENSRNOT00000059335.3 0.114213
ENSRNOT00000083189.1 2.27141
ENSRNOT00000017712.6 39.9058
ENSRNOT00000046669.3 28.112
ENSRNOT00000010118.6 16.5603
ENSRNOT00000090751.1 24.1768
ENSRNOT00000002727.5 223.815
ENSRNOT00000022343.7 430.583
ENSRNOT00000007071.6 1.14277
ENSRNOT00000072124.1 0
ENSRNOT00000071479.1 0
ENSRNOT00000030996.6 15.0966
ENSRNOT00000092068.1 12.3732
ENSRNOT00000088552.1 0
ENSRNOT00000064361.2 0
ENSRNOT00000020309.6 42.5889
ENSRNOT00000084834.1 0
ENSRNOT00000091655.1 0
ENSRNOT00000085648.1 65.5699
ENSRNOT00000057879.4 41.3214
ENSRNOT00000020071.4 0.223849
ENSRNOT00000060470.3 6.08734
ENSRNOT00000072986.2 0
ENSRNOT00000017012.4 0.496842
ENSRNOT00000029651.1 0
ENSRNOT00000026259.7 183.469
ENSRNOT00000036258.5 2.01893
ENSRNOT00000049631.4 4.25965
ENSRNOT00000023610.7 1.0149
ENSRNOT00000046842.4 4.44603
ENSRNOT00000065946.2 28.5897
ENSRNOT00000011499.7 151.511
ENSRNOT00000048976.5 0
ENSRNOT00000065051.1 0
ENSRNOT00000017070.4 1.82925
ENSRNOT00000085628.1 1.30951
ENSRNOT00000055251.5 9.58476
ENSRNOT00000012663.7 1070.48
ENSRNOT00000088110.1 0
ENSRNOT00000047831.2 2.33738
ENSRNOT00000012638.7 14.8284
ENSRNOT00000022676.6 57.3277
ENSRNOT00000091283.1 14.4366
ENSRNOT00000083402.1 26.0871
ENSRNOT00000016137.6 112.732
ENSRNOT00000057286.3 25.4625
ENSRNOT00000083006.1 0
ENSRNOT00000012432.6 4.24641
ENSRNOT00000064006.3 0
ENSRNOT00000013473.4 6.35389
ENSRNOT00000080931.1 0
ENSRNOT00000008936.5 3.39949
ENSRNOT00000038074.4 6.59444
ENSRNOT00000044254.3 15.7169
ENSRNOT00000027682.5 6.19559
ENSRNOT00000086003.1 0.252419
ENSRNOT00000026748.4 3.18799
ENSRNOT00000085336.1 0.145873
ENSRNOT00000072217.2 0
ENSRNOT00000003932.7 507.433
ENSRNOT00000076578.1 318.766
ENSRNOT00000075948.1 270.001
ENSRNOT00000022291.3 0
ENSRNOT00000060427.1 0
ENSRNOT00000023425.6 4.96068
ENSRNOT00000089107.1 2.18224
ENSRNOT00000086154.1 11.5854
ENSRNOT00000064483.1 8.4305
ENSRNOT00000022398.4 0.557549
ENSRNOT00000029183.4 0
ENSRNOT00000007588.5 1.79654
ENSRNOT00000003498.6 0.0819628
ENSRNOT00000087955.1 0
ENSRNOT00000048765.5 24.0628
ENSRNOT00000091885.1 0.35997
ENSRNOT00000023172.7 121.114
ENSRNOT00000064696.2 14.4297
ENSRNOT00000010755.5 79.6216
ENSRNOT00000047698.5 74.7155
ENSRNOT00000048252.3 0.111778
ENSRNOT00000091061.1 33.67
ENSRNOT00000022003.5 3.38129
ENSRNOT00000009727.2 0
ENSRNOT00000080429.1 8.06357
ENSRNOT00000023396.6 16.1379
ENSRNOT00000034692.2 11.1017
ENSRNOT00000065462.2 8.15472
ENSRNOT00000006450.7 0
ENSRNOT00000072166.1 1.42753
ENSRNOT00000015986.7 0.953472
ENSRNOT00000080662.1 7.2144
ENSRNOT00000091661.1 3.00914
ENSRNOT00000080993.1 8.7644
ENSRNOT00000071770.2 13.6481
ENSRNOT00000026075.4 5.25477
ENSRNOT00000025528.6 2.4509
ENSRNOT00000054913.3 65.1234
ENSRNOT00000022932.5 5.41124
ENSRNOT00000074814.1 123.775
ENSRNOT00000012854.6 33.1865
ENSRNOT00000083459.1 0
ENSRNOT00000021216.5 1.47076
ENSRNOT00000028561.7 165.49
ENSRNOT00000014464.7 48.1153
ENSRNOT00000091187.1 0
ENSRNOT00000005257.5 7.48011
ENSRNOT00000023903.7 12.4136
ENSRNOT00000059724.3 0.181763
ENSRNOT00000088172.1 0.505691
ENSRNOT00000046288.4 2.62741
ENSRNOT00000077486.1 44.1594
ENSRNOT00000067097.2 0.0462015
ENSRNOT00000042885.1 0.250781
ENSRNOT00000080043.1 6.46617
ENSRNOT00000016637.6 3.7084
ENSRNOT00000073918.3 0.112002
ENSRNOT00000039842.5 23.684
ENSRNOT00000075737.2 0
ENSRNOT00000088903.1 0
ENSRNOT00000084788.1 0
ENSRNOT00000022370.6 1.72635
ENSRNOT00000089488.1 20.1582
ENSRNOT00000068550.1 27.9716
ENSRNOT00000032535.5 25.8792
ENSRNOT00000036454.3 6.78036
ENSRNOT00000072566.1 0
ENSRNOT00000084614.1 0
ENSRNOT00000019346.6 5.60876
ENSRNOT00000016088.6 578.346
ENSRNOT00000058947.4 0.563775
ENSRNOT00000054794.3 35.0151
ENSRNOT00000087157.1 2.50593
ENSRNOT00000026107.6 16.7137
ENSRNOT00000066583.1 0.187262
ENSRNOT00000067780.3 2.8504
ENSRNOT00000013150.4 0
ENSRNOT00000042283.5 14.4097
ENSRNOT00000075985.1 20.4861
ENSRNOT00000029782.3 5.62593
ENSRNOT00000084192.1 57.5985
ENSRNOT00000013582.6 84.5886
ENSRNOT00000049250.1 0
ENSRNOT00000072202.1 0
ENSRNOT00000081062.1 0
ENSRNOT00000018163.5 0.126823
ENSRNOT00000026755.5 89.6897
ENSRNOT00000067400.2 0.134205
ENSRNOT00000074505.2 14.4386
ENSRNOT00000050696.5 28.0851
ENSRNOT00000084304.1 30.8562
ENSRNOT00000077578.1 32.038
ENSRNOT00000088720.1 2.00955
ENSRNOT00000004406.5 0.107326
ENSRNOT00000076210.1 0
ENSRNOT00000031943.1 0
ENSRNOT00000082594.1 56.467
ENSRNOT00000082435.1 5.73932
ENSRNOT00000007412.7 3.16517
ENSRNOT00000084185.1 4.62672
ENSRNOT00000086950.1 24.3024
ENSRNOT00000091738.1 1.72936
ENSRNOT00000081760.1 0
ENSRNOT00000083284.1 37.8727
ENSRNOT00000083411.1 3.46675
ENSRNOT00000085611.1 0
ENSRNOT00000089490.1 3.13852
ENSRNOT00000079886.1 2.80088
ENSRNOT00000078576.1 1.52287
ENSRNOT00000077082.1 13.7466
ENSRNOT00000003557.3 4.48322
ENSRNOT00000001338.3 42.1154
ENSRNOT00000010626.7 1.3934
ENSRNOT00000058195.4 3.69964
ENSRNOT00000092065.1 2.60974
ENSRNOT00000088917.1 10.7612
ENSRNOT00000079560.1 8.43556
ENSRNOT00000051911.2 0.256206
