"GSM1616876"	"GSM1616877"	"GSM1616878"	"GSM1616879"	"GSM1616880"	"GSM1616881"	"GSM1616882"	"GSM1616883"	"GSM1616884"	"GSM1616885"	"GSM1616886"	"GSM1616887"
"ENSRNOT00000000008.4"	215.122	213.652	205.159	198.465	221.622	199.014	251.01	198.403	217.399	194.36	230.084	222.29
"ENSRNOT00000000009.5"	0.232986	0.09208	1.4253	0	0.283009	2.38773	0.0363323	0.0921749	0.0832157	0.216681	0.0505413	0.161888
"ENSRNOT00000000010.5"	0.205607	0.0786752	0.352651	0.405025	0	0.0496317	0.185215	0.07773	0.0711002	0.103162	0.131582	0.204941
"ENSRNOT00000000011.5"	10.4782	20.6542	39.3468	29.9227	20.6345	12.3759	11.7077	26.5487	20.6482	21.8991	12.4385	24.7384
"ENSRNOT00000000013.5"	1.54814	2.24084	2.33809	1.79953	2.13339	2.12856	2.69215	3.15404	1.94312	2.23725	1.65205	2.50972
"ENSRNOT00000000018.7"	0.35269	0.548077	0.486007	0.542686	0.527369	0.585158	0.297806	0.458537	0.419182	0.58959	0.282607	0.274553
"ENSRNOT00000000022.3"	16.5497	14.032	16.4093	16.1806	16.3232	14.4411	15.9821	14.2514	16.7075	15.4692	14.1882	11.7036
"ENSRNOT00000000025.7"	15.8455	19.7013	18.0161	22.5521	18.5518	18.5404	16.71	18.3667	18.1973	12.9708	17.1966	17.4638
"ENSRNOT00000000026.6"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSRNOT00000000036.5"	56.6363	55.1876	51.3827	53.0293	62.6885	54.7405	61.3623	48.6946	64.1224	57.0831	46.7158	52.3626
"ENSRNOT00000000037.4"	3.50472	5.01484	4.50284	4.77028	4.88845	4.82125	4.35992	4.64084	4.2392	3.66222	4.18857	4.40758
"ENSRNOT00000000039.3"	2.62534	2.8485	3.1519	2.62813	2.99598	3.32729	2.77309	2.7655	2.87006	2.53834	2.59086	2.95886
"ENSRNOT00000000040.2"	0.101384	0	0	0.124335	0	0.121701	0	0.289924	0.349447	0.251926	0.167875	0.125406
"ENSRNOT00000000041.6"	16.979	16.6575	15.0565	14.9941	17.7274	14.0971	17.9631	14.2074	18.9076	16.9232	12.9924	14.7576
"ENSRNOT00000000047.2"	3.21111	3.82464	4.03158	3.65486	3.38798	3.37511	3.42588	4.43226	3.31053	3.0224	3.49829	3.28243
"ENSRNOT00000000048.6"	33.457	39.9615	39.963	43.7894	37.5642	37.4517	32.1997	49.2176	32.6315	31.1106	35.2398	37.8304
"ENSRNOT00000000049.5"	123.024	108.108	137.592	125.472	129.139	115.9	133.014	127.712	123.5	129.477	145.597	140.01
"ENSRNOT00000000050.6"	26.2074	25.7341	27.1591	26.223	24.4081	24.1936	26.4782	26.1267	24.5778	27.611	23.7921	22.5992
"ENSRNOT00000000052.4"	8.32125	8.44902	10.4469	11.224	10.1292	16.6114	7.466	11.8158	6.94784	6.77848	7.47754	9.28119
