"GSM1616876"	"GSM1616877"	"GSM1616878"	"GSM1616879"	"GSM1616880"	"GSM1616881"	"GSM1616882"	"GSM1616883"	"GSM1616884"	"GSM1616885"	"GSM1616886"	"GSM1616887"
"ENSRNOT00000000008.4"	13479.9	13954.9	10476.1	10085.2	12750.3	10308.9	13948.6	13201.8	15736.6	14505.6	9138.13	11147
"ENSRNOT00000000009.5"	7.4817	3.08747	37.3347	0	8.35104	63.4705	1.03554	3.13629	3.08939	8.30744	1.02008	4.16758
"ENSRNOT00000000010.5"	5	2	7	8	0	1	4	2	2	3	2	4
"ENSRNOT00000000011.5"	483.943	994.977	1481.45	1121.14	875.27	472.748	479.682	1301	1101.97	1205.73	362.976	914.959
"ENSRNOT00000000013.5"	26.1448	39.6401	32.2676	24.7112	33.1581	29.8314	40.417	56.21	37.9939	45.3113	17.2617	34.0881
"ENSRNOT00000000018.7"	8	13	9	10	11	11	6	11	11	16	4	5
"ENSRNOT00000000022.3"	348.66	309.245	282.294	276.982	316.286	252.214	299.124	317.38	407.282	390.109	186.165	198.038
"ENSRNOT00000000025.7"	289.673	377.072	269.071	335.141	312.051	281.163	271.493	354.559	385.074	284.167	195	256.636
"ENSRNOT00000000026.6"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSRNOT00000000036.5"	4030.37	4092.75	2979.35	3059.96	4095.41	3219.65	3872.06	3680.73	5270.67	4836.71	2109.31	2981.35
"ENSRNOT00000000037.4"	299.223	446.073	313.196	330.197	383.103	340.14	330.029	421.004	418.002	372.148	227.191	301
"ENSRNOT00000000039.3"	144.1	163.014	141.001	117	151	151.001	135	161.137	182	166	90.022	130.003
"ENSRNOT00000000040.2"	1	0	0	1	0	1	0	3	4	3	1	1
"ENSRNOT00000000041.6"	1043.02	1066.66	753.745	746.985	999.859	715.889	978.601	926.744	1341.76	1238.26	505.782	725.521
"ENSRNOT00000000047.2"	230.455	286.048	235.754	212.691	223.217	200.2	218.017	337.883	274.43	258.266	159.309	188.479
"ENSRNOT00000000048.6"	1638.45	2040.93	1595.29	1739.55	1689.41	1516.76	1398.77	2557.84	1846.45	1815.89	1091.14	1483.37
