Name TPM
ENSRNOT00000047550.4 7483.94
ENSRNOT00000040993.4 6677.12
ENSRNOT00000050156.3 18444.3
ENSRNOT00000043693.3 15516.2
ENSRNOT00000046201.3 36169.2
ENSRNOT00000046108.3 18930.4
ENSRNOT00000049683.3 17255.5
ENSRNOT00000041241.3 5025.61
ENSRNOT00000044582.3 10142.8
ENSRNOT00000042928.3 5942.53
ENSRNOT00000048767.3 3022.06
ENSRNOT00000051268.3 3785.67
ENSRNOT00000042098.3 9347.97
ENSRNOT00000003077.5 41.6021
ENSRNOT00000065879.1 6.27767
ENSRNOT00000077666.1 4.75021
ENSRNOT00000087911.1 0
ENSRNOT00000058131.4 152.597
ENSRNOT00000017862.4 22.5225
ENSRNOT00000089318.1 6.49033
ENSRNOT00000011892.7 49.1619
ENSRNOT00000027093.6 66.0593
ENSRNOT00000032664.7 0.0713622
ENSRNOT00000080032.1 37.0459
ENSRNOT00000011386.7 0.919737
ENSRNOT00000026070.6 54.0978
ENSRNOT00000083408.1 1.03077
ENSRNOT00000038055.6 32.99
ENSRNOT00000022923.6 0
ENSRNOT00000071786.2 1.22513
ENSRNOT00000084637.1 14.6076
ENSRNOT00000048293.4 8.40304
ENSRNOT00000041789.2 1035.17
ENSRNOT00000020384.2 6.56701
ENSRNOT00000088867.1 0
ENSRNOT00000001227.6 242.776
ENSRNOT00000061323.1 0
ENSRNOT00000079988.1 10.5218
ENSRNOT00000060765.4 1.50648
ENSRNOT00000088529.1 14.9747
ENSRNOT00000064255.1 0.0747936
ENSRNOT00000025183.2 18.6952
ENSRNOT00000013503.5 0.0419739
ENSRNOT00000020493.5 5.84266
ENSRNOT00000010633.5 54.6504
ENSRNOT00000064594.3 0.451653
ENSRNOT00000085673.1 0
ENSRNOT00000010714.5 28.0272
ENSRNOT00000024714.7 23.3546
ENSRNOT00000064565.1 0
ENSRNOT00000081206.1 150.223
ENSRNOT00000083426.1 6.194
ENSRNOT00000066115.3 10.209
ENSRNOT00000080712.1 12.5361
ENSRNOT00000017805.6 22.7066
ENSRNOT00000035512.6 1.26675
ENSRNOT00000061029.4 4.93183
ENSRNOT00000090178.1 0
ENSRNOT00000052157.5 7.34516
ENSRNOT00000066120.3 62.394
ENSRNOT00000026633.7 31.7771
ENSRNOT00000084562.1 0
ENSRNOT00000029829.4 46.9837
ENSRNOT00000048351.5 0
ENSRNOT00000072923.1 0
ENSRNOT00000072173.1 0.295275
ENSRNOT00000012086.6 4.22417
ENSRNOT00000074117.2 0.0796627
ENSRNOT00000024779.6 103.33
ENSRNOT00000013786.6 0.103326
ENSRNOT00000024975.4 25.3841
ENSRNOT00000064705.3 12.5279
ENSRNOT00000090572.1 25.9144
ENSRNOT00000012480.5 1.83162
ENSRNOT00000085488.1 6.14564
ENSRNOT00000077537.1 0.212638
ENSRNOT00000018425.7 22.8145
ENSRNOT00000045053.3 37.9555
ENSRNOT00000058330.4 0
ENSRNOT00000092198.1 0.0240886
ENSRNOT00000021372.6 303.166
ENSRNOT00000084129.1 10.1534
ENSRNOT00000087671.1 6.40562
ENSRNOT00000085905.1 33.3006
ENSRNOT00000013233.4 9.15959
ENSRNOT00000082684.1 0.774344
ENSRNOT00000044250.1 0
ENSRNOT00000089007.1 46.6432
ENSRNOT00000004319.3 58.777
