Name TPM NumReads
ENSRNOT00000047550.4 6810.18 88334.3
ENSRNOT00000040993.4 6149.9 88093.6
ENSRNOT00000050156.3 16162.9 363431
ENSRNOT00000043693.3 14489 124638
ENSRNOT00000046201.3 38120.2 35512.9
ENSRNOT00000046108.3 16379.3 140107
ENSRNOT00000049683.3 14804 151225
ENSRNOT00000041241.3 4690.1 14964.7
ENSRNOT00000044582.3 9697 23000.2
ENSRNOT00000042928.3 5274.34 104390
ENSRNOT00000048767.3 3064.28 82987.6
ENSRNOT00000051268.3 3707.76 22033.3
ENSRNOT00000042098.3 8773.68 140395
ENSRNOT00000003077.5 41.9028 4300.47
ENSRNOT00000065879.1 5.37583 139
ENSRNOT00000077666.1 4.96965 430.52
ENSRNOT00000087911.1 0 0
ENSRNOT00000058131.4 151.661 710.606
ENSRNOT00000017862.4 23.2874 866.55
ENSRNOT00000089318.1 9.39177 196.789
ENSRNOT00000011892.7 47.2694 912.686
ENSRNOT00000027093.6 65.9963 1283.85
ENSRNOT00000032664.7 0.325312 7
ENSRNOT00000080032.1 31.4999 1498.83
ENSRNOT00000011386.7 0.97101 21.0976
ENSRNOT00000026070.6 56.9415 1298.73
ENSRNOT00000083408.1 4.21564 101.115
ENSRNOT00000038055.6 34.925 680.534
ENSRNOT00000022923.6 0 0
ENSRNOT00000071786.2 0.662869 9.86938
ENSRNOT00000084637.1 20.1941 1252.71
ENSRNOT00000048293.4 7.85334 173.04
ENSRNOT00000041789.2 1078.87 23667.4
ENSRNOT00000020384.2 6.96174 105
ENSRNOT00000088867.1 0 0
ENSRNOT00000001227.6 278.389 8226.38
ENSRNOT00000061323.1 0 0
ENSRNOT00000079988.1 10.8435 39.8198
ENSRNOT00000060765.4 1.81448 48.0867
ENSRNOT00000088529.1 15.8757 1530.99
ENSRNOT00000064255.1 0.0297454 3.28737
ENSRNOT00000025183.2 12.2499 128.086
ENSRNOT00000013503.5 0.109337 2
ENSRNOT00000020493.5 3.40093 58.2606
ENSRNOT00000010633.5 53.0409 2499.84
ENSRNOT00000064594.3 0.34144 7.7821
ENSRNOT00000085673.1 0 0
ENSRNOT00000010714.5 29.3747 1778.15
ENSRNOT00000024714.7 27.6407 2917
ENSRNOT00000064565.1 0 0
ENSRNOT00000081206.1 139.551 5336.91
ENSRNOT00000083426.1 4.82727 177.448
ENSRNOT00000066115.3 8.33595 278.998
ENSRNOT00000080712.1 12.3144 494.183
ENSRNOT00000017805.6 22.7318 1155.69
ENSRNOT00000035512.6 1.57494 63
ENSRNOT00000061029.4 5.76179 433.07
ENSRNOT00000090178.1 0 0
ENSRNOT00000052157.5 6.88459 256.184
ENSRNOT00000066120.3 62.1271 4685.65
ENSRNOT00000026633.7 36.2536 625.731
ENSRNOT00000084562.1 0 0
ENSRNOT00000029829.4 45.3164 1277.7
ENSRNOT00000048351.5 0 0
ENSRNOT00000072923.1 0 0
ENSRNOT00000072173.1 0.101168 2.5
ENSRNOT00000012086.6 6.3763 195.516
ENSRNOT00000074117.2 0.155635 3
ENSRNOT00000024779.6 105 3907.16
ENSRNOT00000013786.6 0.179436 4
ENSRNOT00000024975.4 25.9284 862.367
ENSRNOT00000064705.3 12.1651 1807.51
ENSRNOT00000090572.1 24.7802 3014.8
ENSRNOT00000012480.5 3.47135 135.388
ENSRNOT00000085488.1 4.91097 198.03
ENSRNOT00000077537.1 0 0
ENSRNOT00000018425.7 25.0917 902.933
ENSRNOT00000045053.3 37.3109 1327
ENSRNOT00000058330.4 0 0
ENSRNOT00000092198.1 0.06275 2
ENSRNOT00000021372.6 311.318 2090.83
ENSRNOT00000084129.1 11.2906 463.296
ENSRNOT00000087671.1 5.66029 117.232
ENSRNOT00000085905.1 36.912 1526.54
ENSRNOT00000013233.4 9.43706 334.421
ENSRNOT00000082684.1 1.78873 26.8053
ENSRNOT00000044250.1 0 0
ENSRNOT00000089007.1 51.3893 535.672
ENSRNOT00000004319.3 56.0216 1162.09
ENSRNOT00000026437.4 1.39855 18.0503
ENSRNOT00000029111.5 11.9959 457.024
ENSRNOT00000000891.5 28.2178 1652.59
ENSRNOT00000079725.1 0 0
ENSRNOT00000077256.1 3.41652 123.22
ENSRNOT00000056221.2 1.03486 41.7798
ENSRNOT00000072548.2 0 0
