"gene.no"	"genes"	"p.value"
"1"	1	"ENSRNOG00000000001"	0.47791416935019
"2"	2	"ENSRNOG00000000007"	0.661679823677242
"3"	3	"ENSRNOG00000000008"	0.527923022104511
"4"	4	"ENSRNOG00000000009"	0.595385891981242
"5"	5	"ENSRNOG00000000010"	0.963075611008043
"6"	6	"ENSRNOG00000000012"	0.225787128588047
"7"	7	"ENSRNOG00000000014"	0.963867335428326
"8"	8	"ENSRNOG00000000017"	0.166575311189378
"9"	9	"ENSRNOG00000000021"	0.404202592705044
"10"	10	"ENSRNOG00000000024"	0.152926974331828
"11"	11	"ENSRNOG00000000028"	0.364294091122424
"12"	12	"ENSRNOG00000000029"	0.950546346033565
"13"	13	"ENSRNOG00000000033"	0.482720383813347
"14"	14	"ENSRNOG00000000034"	0.608638124809397
"15"	15	"ENSRNOG00000000035"	0.235998211198877
"16"	16	"ENSRNOG00000000036"	0.644379337371246
"17"	17	"ENSRNOG00000000039"	NA
"18"	18	"ENSRNOG00000000040"	0.892833666935893
"19"	19	"ENSRNOG00000000041"	0.46545814356429
"20"	20	"ENSRNOG00000000042"	0.115669888795004
"21"	21	"ENSRNOG00000000043"	0.92251445614832
"22"	22	"ENSRNOG00000000044"	0.693341569642243
"23"	23	"ENSRNOG00000000045"	0.148849068136397
"24"	24	"ENSRNOG00000000047"	0.147057439535875
"25"	25	"ENSRNOG00000000048"	0.396598259101594
"26"	26	"ENSRNOG00000000050"	NA
"27"	27	"ENSRNOG00000000053"	0.889419225581847
"28"	28	"ENSRNOG00000000054"	0.232749759131665
"29"	29	"ENSRNOG00000000055"	0.983752228010354
"30"	30	"ENSRNOG00000000060"	0.535042978448236
"31"	31	"ENSRNOG00000000062"	0.659516692102171
"32"	32	"ENSRNOG00000000064"	0.841096616898237
"33"	33	"ENSRNOG00000000065"	0.777703200717995
"34"	34	"ENSRNOG00000000066"	0.34407324621086
"35"	35	"ENSRNOG00000000068"	0.386531417758854
"36"	36	"ENSRNOG00000000070"	0.0940007653708088
"37"	37	"ENSRNOG00000000073"	0.171743144916893
"38"	38	"ENSRNOG00000000075"	0.0947087033921183
"39"	39	"ENSRNOG00000000081"	0.153025484956086
"40"	40	"ENSRNOG00000000082"	0.272897069730428
"41"	41	"ENSRNOG00000000084"	0.646236343077704
"42"	42	"ENSRNOG00000000091"	0.0140220549192773
"43"	43	"ENSRNOG00000000093"	0.724536737781244
"44"	44	"ENSRNOG00000000095"	0.75041212233841
"45"	45	"ENSRNOG00000000096"	0.503627043578969
"46"	46	"ENSRNOG00000000097"	0.4491596270788
"47"	47	"ENSRNOG00000000098"	0.729782910794316
"48"	48	"ENSRNOG00000000104"	0.656481111172203
"49"	49	"ENSRNOG00000000105"	0.819526857159776
"50"	50	"ENSRNOG00000000108"	0.465518796677819
"51"	51	"ENSRNOG00000000109"	0.594502810031467
"52"	52	"ENSRNOG00000000111"	0.0739949438337086
"53"	53	"ENSRNOG00000000112"	0.801763430341458
"54"	54	"ENSRNOG00000000113"	0.903930641717125
"55"	55	"ENSRNOG00000000117"	0.46627406195682
"56"	56	"ENSRNOG00000000119"	0.469841463962631
"57"	57	"ENSRNOG00000000120"	0.302744176326729
"58"	58	"ENSRNOG00000000121"	0.230893687914609
"59"	59	"ENSRNOG00000000122"	0.332166082878942
"60"	60	"ENSRNOG00000000123"	0.179524342145688
"61"	61	"ENSRNOG00000000124"	0.710603786755841
"62"	62	"ENSRNOG00000000127"	0.962529090198743
"63"	63	"ENSRNOG00000000129"	0.274460114654507
"64"	64	"ENSRNOG00000000130"	0.862104500907419
"65"	65	"ENSRNOG00000000133"	0.865868627648213
"66"	66	"ENSRNOG00000000137"	0.0298870902048552
"67"	67	"ENSRNOG00000000138"	0.287178465826628
"68"	68	"ENSRNOG00000000142"	0.590025915995162
"69"	69	"ENSRNOG00000000145"	0.425010130350465
"70"	70	"ENSRNOG00000000146"	0.686618997253558
"71"	71	"ENSRNOG00000000147"	0.51579290815527
"72"	72	"ENSRNOG00000000150"	0.762698318165236
"73"	73	"ENSRNOG00000000151"	0.570529171598541
"74"	74	"ENSRNOG00000000155"	0.125387142241624
"75"	75	"ENSRNOG00000000156"	0.35127629973094
"76"	76	"ENSRNOG00000000157"	0.336708688181477
"77"	77	"ENSRNOG00000000158"	0.623699429096895
"78"	78	"ENSRNOG00000000161"	0.220147476035162
"79"	79	"ENSRNOG00000000164"	0.171729791654844
"80"	80	"ENSRNOG00000000165"	0.810345797600608
"81"	81	"ENSRNOG00000000166"	0.614883531421819
"82"	82	"ENSRNOG00000000167"	0.623710083727126
"83"	83	"ENSRNOG00000000168"	0.815956049250908
"84"	84	"ENSRNOG00000000169"	0.641518288723517
"85"	85	"ENSRNOG00000000170"	0.174503878158899
"86"	86	"ENSRNOG00000000172"	0.0299343151828565
"87"	87	"ENSRNOG00000000175"	0.275275303554069
"88"	88	"ENSRNOG00000000177"	0.520572562135636
"89"	89	"ENSRNOG00000000184"	0.468198002541842
"90"	90	"ENSRNOG00000000185"	0.0908559807940704
"91"	91	"ENSRNOG00000000186"	0.587095184591834
"92"	92	"ENSRNOG00000000187"	0.017759917443941
"93"	93	"ENSRNOG00000000190"	0.533821359821719
"94"	94	"ENSRNOG00000000195"	0.299268262333246
"95"	95	"ENSRNOG00000000196"	0.680102603964249
"96"	96	"ENSRNOG00000000199"	NA
"97"	97	"ENSRNOG00000000201"	0.786161403319316
"98"	98	"ENSRNOG00000000204"	0.0591854358406555
"99"	99	"ENSRNOG00000000207"	0.380691628859546
"100"	100	"ENSRNOG00000000216"	0.836309748211459
"101"	101	"ENSRNOG00000000217"	0.20977017109766
"102"	102	"ENSRNOG00000000219"	0.187470558238779
"103"	103	"ENSRNOG00000000221"	0.646524903103074
"104"	104	"ENSRNOG00000000230"	0.795963799658781
"105"	105	"ENSRNOG00000000231"	0.701021409524906
"106"	106	"ENSRNOG00000000233"	0.940747338673519
"107"	107	"ENSRNOG00000000236"	0.0497679024619206
"108"	108	"ENSRNOG00000000237"	0.481348142430591
"109"	109	"ENSRNOG00000000239"	0.50363503490509
"110"	110	"ENSRNOG00000000242"	0.251841352815211
"111"	111	"ENSRNOG00000000244"	0.571035643307637
"112"	112	"ENSRNOG00000000245"	0.317418237101884
"113"	113	"ENSRNOG00000000246"	0.614646149197402
"114"	114	"ENSRNOG00000000247"	0.263059319540516
"115"	115	"ENSRNOG00000000248"	0.960110088168294
"116"	116	"ENSRNOG00000000249"	0.478640150297759
"117"	117	"ENSRNOG00000000250"	0.654725609487586
"118"	118	"ENSRNOG00000000251"	0.5980486588889
"119"	119	"ENSRNOG00000000252"	NA
"120"	120	"ENSRNOG00000000254"	0.988810588834576
"121"	121	"ENSRNOG00000000257"	0.50891894874612
"122"	122	"ENSRNOG00000000258"	0.331063744597252
"123"	123	"ENSRNOG00000000262"	0.564202248252675
"124"	124	"ENSRNOG00000000264"	0.513212753973207
"125"	125	"ENSRNOG00000000274"	0.248819114719241
"126"	126	"ENSRNOG00000000275"	0.155224925026042
"127"	127	"ENSRNOG00000000277"	0.232047718510827
"128"	128	"ENSRNOG00000000279"	0.064474333000905
"129"	129	"ENSRNOG00000000281"	0.615419422651449
"130"	130	"ENSRNOG00000000282"	0.237818756079787
"131"	131	"ENSRNOG00000000283"	0.364769966539325
"132"	132	"ENSRNOG00000000288"	0.258617531111505
"133"	133	"ENSRNOG00000000296"	0.877493061171521
"134"	134	"ENSRNOG00000000297"	0.441099079741173
"135"	135	"ENSRNOG00000000299"	0.910779286114417
"136"	136	"ENSRNOG00000000302"	0.211210786243487
"137"	137	"ENSRNOG00000000303"	0.437691396101856
"138"	138	"ENSRNOG00000000304"	0.184264519429525
"139"	139	"ENSRNOG00000000306"	0.309690273393397
"140"	140	"ENSRNOG00000000307"	0.989389627617799
"141"	141	"ENSRNOG00000000308"	0.438236148469649
"142"	142	"ENSRNOG00000000311"	0.128514416863155
"143"	143	"ENSRNOG00000000312"	0.890562876679351
"144"	144	"ENSRNOG00000000314"	0.346260487709706
"145"	145	"ENSRNOG00000000315"	0.441099079741174
"146"	146	"ENSRNOG00000000316"	0.342262514711389
"147"	147	"ENSRNOG00000000320"	0.29264545264628
"148"	148	"ENSRNOG00000000321"	0.478378536513109
"149"	149	"ENSRNOG00000000322"	0.238291124597671
"150"	150	"ENSRNOG00000000323"	0.216101253215301
"151"	151	"ENSRNOG00000000325"	0.437647614218809
"152"	152	"ENSRNOG00000000326"	NA
"153"	153	"ENSRNOG00000000327"	0.295790142162331
"154"	154	"ENSRNOG00000000335"	0.428093887285193
"155"	155	"ENSRNOG00000000340"	0.668289495508052
"156"	156	"ENSRNOG00000000341"	0.358788305618706
"157"	157	"ENSRNOG00000000345"	0.511272297430337
"158"	158	"ENSRNOG00000000368"	0.137763414767355
"159"	159	"ENSRNOG00000000373"	0.977699493650404
"160"	160	"ENSRNOG00000000376"	0.256925178875778
"161"	161	"ENSRNOG00000000378"	0.624253734389477
"162"	162	"ENSRNOG00000000379"	0.842452878668376
"163"	163	"ENSRNOG00000000380"	0.104849634681667
"164"	164	"ENSRNOG00000000381"	0.0913751232755023
"165"	165	"ENSRNOG00000000383"	0.920064164016218
"166"	166	"ENSRNOG00000000384"	0.197754779954635
"167"	167	"ENSRNOG00000000386"	0.0732471981403264
"168"	168	"ENSRNOG00000000387"	0.950166642118278
"169"	169	"ENSRNOG00000000389"	0.313112271613668
"170"	170	"ENSRNOG00000000390"	0.0945951827644653
"171"	171	"ENSRNOG00000000392"	0.657461754358587
"172"	172	"ENSRNOG00000000394"	0.413214659270999
"173"	173	"ENSRNOG00000000395"	0.568953204873632
"174"	174	"ENSRNOG00000000396"	0.362801782618672
"175"	175	"ENSRNOG00000000397"	0.0424750365153957
"176"	176	"ENSRNOG00000000398"	0.631325839298444
"177"	177	"ENSRNOG00000000399"	0.0518931426486513
"178"	178	"ENSRNOG00000000401"	NA
"179"	179	"ENSRNOG00000000402"	0.394179012270031
"180"	180	"ENSRNOG00000000403"	0.254508520070214
"181"	181	"ENSRNOG00000000404"	0.555199365789448
"182"	182	"ENSRNOG00000000405"	0.52435783125711
"183"	183	"ENSRNOG00000000406"	0.385076545992228
"184"	184	"ENSRNOG00000000407"	0.754465923619761
"185"	185	"ENSRNOG00000000408"	0.173986123828651
"186"	186	"ENSRNOG00000000410"	0.57335359362651
"187"	187	"ENSRNOG00000000411"	0.640738673229695
"188"	188	"ENSRNOG00000000412"	0.456638659591186
"189"	189	"ENSRNOG00000000413"	0.590079233062679
"190"	190	"ENSRNOG00000000414"	0.156146337207398
"191"	191	"ENSRNOG00000000415"	0.1282688767087
"192"	192	"ENSRNOG00000000417"	0.506913283434067
"193"	193	"ENSRNOG00000000418"	0.387819530356833
"194"	194	"ENSRNOG00000000419"	0.0235444314634256
"195"	195	"ENSRNOG00000000420"	0.0583209468415634
"196"	196	"ENSRNOG00000000421"	0.0582027989346283
"197"	197	"ENSRNOG00000000422"	0.0987838509148847
"198"	198	"ENSRNOG00000000423"	0.0872915333232207
"199"	199	"ENSRNOG00000000428"	0.49494372435941
"200"	200	"ENSRNOG00000000431"	0.063416353224228
"201"	201	"ENSRNOG00000000432"	0.849551683178175
"202"	202	"ENSRNOG00000000433"	0.333478571721497
"203"	203	"ENSRNOG00000000435"	0.0776935449413877
"204"	204	"ENSRNOG00000000436"	0.346725058423532
"205"	205	"ENSRNOG00000000437"	0.0993506272635233
"206"	206	"ENSRNOG00000000438"	0.426066658403453
"207"	207	"ENSRNOG00000000439"	0.811564157287307
"208"	208	"ENSRNOG00000000440"	0.709282986631526
"209"	209	"ENSRNOG00000000441"	0.672994328721316
"210"	210	"ENSRNOG00000000442"	0.0689918234304706
"211"	211	"ENSRNOG00000000443"	0.2292425260711
"212"	212	"ENSRNOG00000000446"	NA
"213"	213	"ENSRNOG00000000451"	0.467733110380792
"214"	214	"ENSRNOG00000000454"	0.935979501250363
"215"	215	"ENSRNOG00000000455"	0.100361491071196
"216"	216	"ENSRNOG00000000456"	0.0818411645296528
"217"	217	"ENSRNOG00000000457"	0.0267380432740935
"218"	218	"ENSRNOG00000000459"	0.0399592363213133
"219"	219	"ENSRNOG00000000460"	0.163030984573562
"220"	220	"ENSRNOG00000000461"	0.648682959325725
"221"	221	"ENSRNOG00000000463"	0.413789150149199
"222"	222	"ENSRNOG00000000464"	0.400905099381302
"223"	223	"ENSRNOG00000000465"	0.475215699889789
"224"	224	"ENSRNOG00000000466"	0.0605765543353273
"225"	225	"ENSRNOG00000000467"	0.329341621902343
"226"	226	"ENSRNOG00000000470"	0.329306173197016
"227"	227	"ENSRNOG00000000471"	0.182676984759779
"228"	228	"ENSRNOG00000000473"	0.230528605171605
"229"	229	"ENSRNOG00000000474"	0.105596316988042
"230"	230	"ENSRNOG00000000476"	0.0874495410383829
"231"	231	"ENSRNOG00000000477"	0.580811080651169
"232"	232	"ENSRNOG00000000478"	0.61476879884651
"233"	233	"ENSRNOG00000000479"	0.184162834844708
"234"	234	"ENSRNOG00000000480"	0.0933993586346464
"235"	235	"ENSRNOG00000000481"	0.837059326855283
"236"	236	"ENSRNOG00000000483"	0.774766077981796
"237"	237	"ENSRNOG00000000485"	0.135779378873324
"238"	238	"ENSRNOG00000000486"	0.12548083323811
"239"	239	"ENSRNOG00000000487"	0.82424001293547
"240"	240	"ENSRNOG00000000488"	0.264465376604277
"241"	241	"ENSRNOG00000000489"	0.77485475835929
"242"	242	"ENSRNOG00000000490"	0.426686525201337
"243"	243	"ENSRNOG00000000491"	0.609802879648249
"244"	244	"ENSRNOG00000000493"	0.862931777530632
"245"	245	"ENSRNOG00000000495"	0.310586679829999
"246"	246	"ENSRNOG00000000498"	0.343683519726503
"247"	247	"ENSRNOG00000000499"	0.276827323877557
"248"	248	"ENSRNOG00000000500"	0.647531707377575
"249"	249	"ENSRNOG00000000501"	0.857586183322616
"250"	250	"ENSRNOG00000000502"	0.23265890204395
"251"	251	"ENSRNOG00000000503"	0.0515791131732065
"252"	252	"ENSRNOG00000000504"	0.485250900106512
"253"	253	"ENSRNOG00000000505"	0.731925863075232
"254"	254	"ENSRNOG00000000506"	0.0168745617166444
"255"	255	"ENSRNOG00000000507"	0.117397256021143
"256"	256	"ENSRNOG00000000508"	0.585829181206146
"257"	257	"ENSRNOG00000000510"	0.441099079741173
"258"	258	"ENSRNOG00000000511"	0.778534473026011
"259"	259	"ENSRNOG00000000512"	0.892178412741265
"260"	260	"ENSRNOG00000000513"	0.139853289581115
"261"	261	"ENSRNOG00000000515"	0.0353328767729963
"262"	262	"ENSRNOG00000000516"	0.792007149112741
"263"	263	"ENSRNOG00000000517"	0.758280573529771
"264"	264	"ENSRNOG00000000519"	0.956226856831222
"265"	265	"ENSRNOG00000000520"	0.16645229026613
"266"	266	"ENSRNOG00000000521"	0.582295336313306
"267"	267	"ENSRNOG00000000522"	0.464136923703807
"268"	268	"ENSRNOG00000000523"	0.342487108028158
"269"	269	"ENSRNOG00000000524"	0.0701903510127669
"270"	270	"ENSRNOG00000000525"	0.637376840589582
"271"	271	"ENSRNOG00000000527"	0.213890734314071
"272"	272	"ENSRNOG00000000528"	0.00116487638687922
"273"	273	"ENSRNOG00000000529"	0.994622604097282
