Member	Gene Id	GSEA	Entrez Gene ID	Gene symbol	Gene description
AABR07015055.1	no mapping	AABR07015055.1	no mapping	no mapping	
AABR07015057.1	no mapping	AABR07015057.1	no mapping	no mapping	
AABR07016056.1	no mapping	AABR07016056.1	no mapping	no mapping	
AABR07037536.1	no mapping	AABR07037536.1	no mapping	no mapping	
AABR07063424.1	no mapping	AABR07063424.1	no mapping	no mapping	
ABCG8	64241	ABCG8	64241	ABCG8	"ATP-binding cassette, sub-family G (WHITE), member 8"
AC141028.3	no mapping	AC141028.3	no mapping	no mapping	
ACLY	47	ACLY	47	ACLY	ATP citrate lyase
ACTG1	71	ACTG1	71	ACTG1	"actin, gamma 1"
ADCY6	112	ADCY6	112	ADCY6	adenylate cyclase 6
ADGRG1	no mapping	ADGRG1	no mapping	no mapping	
AGAP3	116988	AGAP3	116988	AGAP3	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
AHCTF1	25909	AHCTF1	25909	AHCTF1	AT hook containing transcription factor 1
AK7	122481	AK7	122481	AK7	adenylate kinase 7
ALDOA	226	ALDOA	226	ALDOA	"aldolase A, fructose-bisphosphate"
ANXA6	309	ANXA6	309	ANXA6	annexin A6
ARHGEF10L	55160	ARHGEF10L	55160	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like
ARHGEF16	27237	ARHGEF16	27237	ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16
ASPDH	554235	ASPDH	554235	ASPDH	aspartate dehydrogenase domain containing
ATF1	466	ATF1	466	ATF1	activating transcription factor 1
B4GALT6	9331	B4GALT6	9331	B4GALT6	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6"
BCLAF1	9774	BCLAF1	9774	BCLAF1	BCL2-associated transcription factor 1
C3	718	C3	718	C3	complement component 3
CCDC150	284992	CCDC150	284992	CCDC150	coiled-coil domain containing 150
CCL28	56477	CCL28	56477	CCL28	chemokine (C-C motif) ligand 28
CDHR1	92211	CDHR1	92211	CDHR1	cadherin-related family member 1
CFH	3075	CFH	3075	CFH	complement factor H
CLASP1	23332	CLASP1	23332	CLASP1	cytoplasmic linker associated protein 1
CLCN2	1181	CLCN2	1181	CLCN2	chloride channel 2
CLEC2L	154790	CLEC2L	154790	CLEC2L	"C-type lectin domain family 2, member L"
COL17A1	1308	COL17A1	1308	COL17A1	"collagen, type XVII, alpha 1"
COL1A1	1277	COL1A1	1277	COL1A1	"collagen, type I, alpha 1"
CORO7	79585	CORO7	79585	CORO7	coronin 7
CSNK1E	1454	CSNK1E	1454	CSNK1E	"casein kinase 1, epsilon"
DUSP11	8446	DUSP11	8446	DUSP11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
ECE1	1889	ECE1	1889	ECE1	endothelin converting enzyme 1
EIF2S3	1968	EIF2S3	1968	EIF2S3	"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa"
ELF1	1997	ELF1	1997	ELF1	E74-like factor 1 (ets domain transcription factor)
EOMES	8320	EOMES	8320	EOMES	eomesodermin
EPB41L2	2037	EPB41L2	2037	EPB41L2	erythrocyte membrane protein band 4.1-like 2
ESR1	2099	ESR1	2099	ESR1	estrogen receptor 1
FANCM	57697	FANCM	57697	FANCM	"Fanconi anemia, complementation group M"
FBLN5	10516	FBLN5	10516	FBLN5	fibulin 5
FBXW10	10517	FBXW10	10517	FBXW10	F-box and WD repeat domain containing 10
FOXJ2	55810	FOXJ2	55810	FOXJ2	forkhead box J2
FRMD7	90167	FRMD7	90167	FRMD7	FERM domain containing 7
GALNT7	51809	GALNT7	51809	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
GIPR	2696	GIPR	2696	GIPR	gastric inhibitory polypeptide receptor
GNL1	2794	GNL1	2794	GNL1	guanine nucleotide binding protein-like 1
HBA1	3039	HBA1	3039	HBA1	"hemoglobin, alpha 1"
HBA2	3040	HBA2	3040	HBA2	"hemoglobin, alpha 2"
HBB	3043	HBB	3043	HBB	"hemoglobin, beta"
HTR2C	3358	HTR2C	3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C
IQSEC2	23096	IQSEC2	23096	IQSEC2	IQ motif and Sec7 domain 2
ITPR1	3708	ITPR1	3708	ITPR1	"inositol 1,4,5-trisphosphate receptor, type 1"
KAT6B	no mapping	KAT6B	no mapping	no mapping	
