chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_female	logFC	FDR	gExp_up_in_female	epi_regulation
chr14	46522045	46522047	promoter-TSS	-1541	ENSRNOT00000088111.1	AABR07015055.1	FALSE	1.154	0	FALSE	TRUE
chr14	46526132	46526134	promoter-TSS	-1657	ENSRNOT00000079005.1	AABR07015057.1	FALSE	1.006	0	FALSE	TRUE
chr14	46525561	46525563	promoter-TSS	-1086	ENSRNOT00000079005.1	AABR07015057.1	FALSE	1.006	0	FALSE	TRUE
chr14	92959895	92959897	intron	82286	ENSRNOT00000005432.5	AABR07016056.1	TRUE	-0.589	0.045	TRUE	TRUE
chr14	92959099	92959101	intron	83082	ENSRNOT00000005432.5	AABR07016056.1	TRUE	-0.589	0.045	TRUE	TRUE
chrX	23129895	23129897	intron	116823	ENSRNOT00000085588.1	AABR07037536.1	TRUE	-6.536	0	TRUE	TRUE
chr6	30626706	30626708	Intergenic	-12024	ENSRNOT00000082885.1	AABR07063424.1	FALSE	1.154	0	FALSE	TRUE
chr6	30627948	30627950	Intergenic	-10782	ENSRNOT00000082885.1	AABR07063424.1	FALSE	1.154	0	FALSE	TRUE
chr6	30628464	30628466	Intergenic	-10266	ENSRNOT00000082885.1	AABR07063424.1	FALSE	1.154	0	FALSE	TRUE
chr6	30641342	30641344	promoter-TSS	2612	ENSRNOT00000082885.1	AABR07063424.1	FALSE	1.154	0	FALSE	TRUE
chr6	30710017	30710019	Intergenic	71287	ENSRNOT00000082885.1	AABR07063424.1	FALSE	1.154	0	FALSE	TRUE
chr6	7923315	7923317	intron	-38095	ENSRNOT00000007638.7	Abcg8	FALSE	5.572	0.044	FALSE	TRUE
chr6	8065952	8065954	intron	104542	ENSRNOT00000007638.7	Abcg8	FALSE	5.572	0.044	FALSE	TRUE
chrX	5552743	5552745	intron	-133303	ENSRNOT00000081389.1	AC141028.3	TRUE	-5.407	0.048	TRUE	TRUE
chrX	5632443	5632445	Intergenic	-53603	ENSRNOT00000081389.1	AC141028.3	TRUE	-5.407	0.048	TRUE	TRUE
chrX	5633075	5633077	Intergenic	-52971	ENSRNOT00000081389.1	AC141028.3	TRUE	-5.407	0.048	TRUE	TRUE
chrX	5683347	5683349	Intergenic	-2699	ENSRNOT00000081389.1	AC141028.3	TRUE	-5.407	0.048	TRUE	TRUE
chrX	5684608	5684610	promoter-TSS	-1438	ENSRNOT00000081389.1	AC141028.3	TRUE	-5.407	0.048	TRUE	TRUE
chr10	88519290	88519292	intron	-76495	ENSRNOT00000077579.1	Acly	FALSE	6.843	0.002	FALSE	TRUE
chr10	88444081	88444083	promoter-TSS	-1286	ENSRNOT00000077579.1	Acly	FALSE	6.843	0.002	FALSE	TRUE
chr10	109501456	109501458	Intergenic	19389	ENSRNOT00000054976.4	Actg1	TRUE	-12.017	0	TRUE	TRUE
chr10	109411300	109411302	Intergenic	109545	ENSRNOT00000054976.4	Actg1	TRUE	-12.017	0	TRUE	TRUE
chr7	140375321	140375323	Intergenic	-84526	ENSRNOT00000082699.1	Adcy6	FALSE	0.517	0.018	FALSE	TRUE
chr19	10580734	10580736	intron	-130549	ENSRNOT00000088048.1	Adgrg1	TRUE	-0.728	0	TRUE	TRUE
chr19	10580235	10580237	intron	-130050	ENSRNOT00000088048.1	Adgrg1	TRUE	-0.728	0	TRUE	TRUE
chr19	10551590	10551592	Intergenic	-101405	ENSRNOT00000088048.1	Adgrg1	TRUE	-0.728	0	TRUE	TRUE
chr19	10306466	10306468	Intergenic	143719	ENSRNOT00000088048.1	Adgrg1	TRUE	-0.728	0	TRUE	TRUE
chr4	7243205	7243207	intron	9744	ENSRNOT00000084777.1	Agap3	TRUE	-1.203	0.032	TRUE	TRUE
chr13	98079521	98079523	promoter-TSS	-967	ENSRNOT00000078034.1	Ahctf1	FALSE	2.561	0	FALSE	TRUE
chr6	129548802	129548804	intron	9823	ENSRNOT00000083626.1	Ak7	FALSE	6.604	0.005	FALSE	TRUE
chr1	198319290	198319292	intron	-86076	ENSRNOT00000087928.1	Aldoa	TRUE	-0.652	0	TRUE	TRUE
chr1	198260716	198260718	intron	-27502	ENSRNOT00000087928.1	Aldoa	TRUE	-0.652	0	TRUE	TRUE
chr1	198249547	198249549	Intergenic	-16333	ENSRNOT00000087928.1	Aldoa	TRUE	-0.652	0	TRUE	TRUE
chr1	198115448	198115450	exon	117766	ENSRNOT00000087928.1	Aldoa	TRUE	-0.652	0	TRUE	TRUE
chr10	40374056	40374058	promoter-TSS	1548	ENSRNOT00000014464.7	Anxa6	TRUE	-0.415	0.037	TRUE	TRUE
chr10	40248128	40248130	intron	127476	ENSRNOT00000014464.7	Anxa6	TRUE	-0.415	0.037	TRUE	TRUE
chr5	159089519	159089521	intron	29651	ENSRNOT00000074074.3	Arhgef10l	FALSE	6.846	0.002	FALSE	TRUE
chr5	171766903	171766905	Intergenic	-118341	ENSRNOT00000072786.2	Arhgef16	TRUE	-7.036	0.001	TRUE	TRUE
chr5	171697857	171697859	intron	-49295	ENSRNOT00000072786.2	Arhgef16	TRUE	-7.036	0.001	TRUE	TRUE
chr5	171649053	171649055	promoter-TSS	-491	ENSRNOT00000072786.2	Arhgef16	TRUE	-7.036	0.001	TRUE	TRUE
chr1	100368879	100368881	Intergenic	-102184	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr1	100369344	100369346	Intergenic	-101719	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr1	100405617	100405619	intron	-65446	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr1	100443017	100443019	Intergenic	-28046	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
