chr,bin,start,end,mean_female,mean_estradiol,female_cov,estradiol_cov,slope_clusters,num_cpg
chr1,7,1118120,1118122,0.254,0.596,13,19,0.0130751595797972,3
chr1,11,1630245,1630247,0.635,0.832,36,51,0.0379547987762336,9
chr1,12,1634208,1634210,0.664,0.454,9,25,0.00610413623780698,4
chr1,14,1702086,1702088,0.636,0.313,14,27,0.157089755665987,4
chr1,15,1773309,1773311,0.551,0.797,8,9,0.191136314639227,3
chr1,16,1782829,1782831,0.977,0.694,8,18,0.0390919344362062,3
chr1,17,1827004,1827006,0.485,0.232,13,15,0.334716778255201,3
chr1,20,1898209,1898211,0.683,0.448,11,19,0.190636830367456,3
chr1,23,1977736,1977738,0.642,0.442,10,24,0.0863163176844897,5
chr1,24,2085635,2085637,0.701,0.909,7,9,0.024198874683827,3
chr1,28,2297769,2297771,0.885,0.688,18,48,0.0141123361956923,6
chr1,29,2484143,2484145,0.771,0.56,12,33,0.000435757353481114,5
chr1,31,2490602,2490604,0.551,0.768,15,52,0.22215879541188,9
chr1,32,2628549,2628551,0.484,0.744,9,4,0.0782112595123446,3
chr1,33,2679799,2679801,0.475,0.798,15,22,0.0395173558132955,3
chr1,34,2853182,2853184,0.445,0.654,7,13,0.066309042061687,3
chr1,35,2873593,2873595,0.738,0.549,9,16,0.0747418356830908,6
chr1,36,2947913,2947915,0.791,0.48,13,25,0.0562559174582037,5
chr1,37,3031139,3031141,0.926,0.728,43,64,0.0355861393690639,12
chr1,41,3107467,3107469,0.74,0.521,15,14,0.00552014360063235,5
chr1,43,3400081,3400083,0.891,0.701,10,12,0.0112578658616047,4
chr1,44,3412955,3412957,0.724,0.535,9,28,0.00648451433741004,6
chr1,45,3651753,3651755,0.645,0.859,8,10,0.0081366224761027,4
chr1,46,3726107,3726109,0.608,0.861,19,14,0.0519507004369146,7
chr1,47,3761383,3761385,0.278,0.57,16,30,0.242234235844232,7
chr1,49,3789248,3789250,0.865,0.68,9,19,0.000643408339324303,4
chr1,51,4012874,4012876,0.415,0.641,18,20,0.315804567206103,6
chr1,52,4018808,4018810,0.45,0.651,22,53,0.014941232209477,9
chr1,60,4405458,4405460,0.581,0.776,11,16,0.00628388067932673,3
chr1,62,4586268,4586270,0.444,0.789,3,3,0.0533739512302518,3
chr1,63,4640878,4640880,0.396,0.604,12,15,0.019286461704055,3
