chr,bin,start,end,mean_female,mean_male,female_cov,male_cov
chr1,4,196652,196900,0.361,0.589,22,41
chr1,5,207515,208166,0.875,0.632,5,22
chr1,6,208997,209440,0.834,0.614,20,46
chr1,7,214033,214403,0.534,0.766,9,19
chr1,8,217781,219419,0.522,0.888,28,71
chr1,9,220060,220875,0.576,0.896,16,1
chr1,10,221526,221846,0.599,0.893,14,25
chr1,11,222521,222713,0.623,0.888,9,17
chr1,13,224120,224444,0.666,0.88,9,25
chr1,15,236292,237575,0.658,0.91,18,17
chr1,16,238269,238843,0.647,0.911,10,24
chr1,19,250028,250280,0.591,0.893,8,9
chr1,21,252749,253302,0.64,0.884,8,12
chr1,29,765293,768976,0.777,0.559,54,108
chr1,32,1255525,1255967,0.744,0.387,5,5
chr1,34,1263603,1264062,0.802,0.402,7,4
chr1,36,1275695,1276061,0.864,0.626,3,3
chr1,37,1512084,1512913,0.428,0.821,7,17
chr1,38,1649212,1651512,0.826,0.541,46,118
chr1,41,1786269,1786614,0.506,0.294,13,26
chr1,42,1799087,1800040,0.795,0.595,21,76
chr1,43,1857765,1858760,0.396,0.822,11,0
chr1,45,2125252,2126930,0.82,0.593,29,52
chr1,46,2273003,2277799,0.886,0.576,106,278
chr1,47,2281686,2282832,0.86,0.598,32,115
chr1,48,2283419,2284821,0.873,0.643,19,56
chr1,49,2332237,2332367,0.929,0.736,6,23
chr1,50,2335043,2335302,0.787,0.579,7,26
chr1,52,2777281,2777829,0.844,0.629,15,42
chr1,54,2784398,2784653,0.589,0.386,12,41
chr1,55,2792954,2793129,0.661,0.863,13,43
chr1,56,2854710,2855720,0.703,0.474,46,160
chr1,57,2983350,2983724,0.435,0.237,16,30
chr1,58,3138977,3139526,0.715,0.516,47,145
chr1,59,3492734,3492969,0.805,0.609,18,62
chr1,62,3772782,3773469,0.748,0.542,33,95
chr1,63,4015497,4016028,0.614,0.827,33,57
chr1,68,4221848,4222857,0.849,0.541,23,49
chr1,69,4446354,4446405,0.736,0.5,13,23
chr1,70,4585838,4586562,0.568,0.815,17,44
chr1,71,4587374,4587468,0.629,0.844,18,15
chr1,72,4642028,4642701,0.711,0.402,24,75
chr1,73,4643234,4643738,0.525,0.255,30,97
chr1,74,4758745,4759267,0.676,0.889,9,22
chr1,75,5091852,5093144,0.706,0.914,26,44
chr1,77,5367161,5368192,0.49,0.801,5,18
chr1,80,5596779,5596872,0.843,0.508,6,12
chr1,81,5642086,5642393,0.663,0.465,11,34
chr1,82,5643572,5643944,0.652,0.454,17,42
chr1,83,5849753,5850361,0.722,0.496,16,34
chr1,84,5888931,5889290,0.728,0.928,4,13
chr1,85,6214141,6215104,0.833,0.505,44,57
chr1,86,6215658,6217010,0.827,0.491,26,67
chr1,89,6463456,6463593,0.449,0.256,7,28
chr1,90,6479657,6480102,0.673,0.884,42,30
chr1,91,6607620,6608425,0.529,0.751,11,26
chr1,92,6701792,6702860,0.806,0.594,28,50
chr1,93,6766201,6766459,0.925,0.726,16,48
chr1,94,6974156,6974748,0.88,0.664,28,41
chr1,95,6994744,6995043,0.607,0.819,10,20
chr1,96,7066097,7066316,0.881,0.665,9,34
chr1,97,7288778,7289899,0.366,0.634,26,31
chr1,99,7341163,7341948,0.602,0.839,23,33
chr1,101,7412344,7413543,0.656,0.894,61,111
chr1,102,7414103,7414291,0.651,0.858,11,10
chr1,103,7507585,7508430,0.544,0.747,26,66
chr1,104,7797815,7799019,0.78,0.511,40,116
chr1,105,7799568,7799798,0.89,0.676,18,34
chr1,106,7937366,7939195,0.707,0.444,99,224
chr1,107,7941488,7942555,0.793,0.545,42,93
chr1,108,7946228,7947722,0.396,0.626,64,180
chr1,109,8009350,8010200,0.688,0.461,29,55
chr1,110,8018382,8018440,0.731,0.538,22,48
chr1,112,8185406,8185788,0.998,0.786,7,8
chr1,113,8318598,8320024,0.744,0.528,22,37
chr1,114,8367121,8367152,0.881,0.673,14,28
chr1,115,8799398,8799422,0.722,0.922,10,21
chr1,116,9042785,9043618,0.541,0.8,7,10
chr1,117,9044495,9044800,0.58,0.824,11,18
chr1,120,9255862,9256187,0.172,0.381,13,51
chr1,121,9293116,9295088,0.837,0.512,27,45
chr1,126,9663818,9665479,0.357,0.658,25,39
chr1,128,10013031,10015498,0.685,0.454,55,141
chr1,130,10071713,10073479,0.584,0.874,32,43
chr1,132,10104207,10104577,0.722,0.516,19,10
chr1,133,10105188,10105536,0.707,0.472,16,13
chr1,138,10841342,10841750,0.526,0.745,18,30
chr1,139,10894672,10895419,0.742,0.518,29,40
chr1,142,11376086,11376960,0.992,0.741,22,50
chr1,144,11656789,11657286,0.889,0.693,57,112
chr1,149,11898931,11900042,0.952,0.732,12,31
chr1,150,11909547,11909590,0.823,0.622,25,26
chr1,153,12711735,12713334,0.782,0.53,33,36
chr1,154,12767518,12768436,0.556,0.821,30,52
chr1,155,12820601,12821258,0.423,0.648,5,5
chr1,156,12827936,12829429,0.944,0.676,38,114
chr1,157,12831509,12832297,0.708,0.484,31,105
chr1,158,12845329,12846065,0.571,0.329,23,50
chr1,159,12848989,12849548,0.677,0.481,24,58
chr1,160,12878509,12879601,0.752,0.523,23,52
chr1,162,12944959,12945452,0.948,0.694,10,20
chr1,163,12946131,12946532,0.953,0.597,8,21
chr1,164,12977797,12979027,0.83,0.541,33,61
chr1,165,13113955,13114575,0.619,0.832,29,65
chr1,166,13187337,13187847,0.624,0.875,18,36
chr1,167,13209064,13209438,0.801,0.575,14,28
chr1,168,13210011,13210378,0.701,0.427,7,16
chr1,170,13567773,13568062,0.882,0.671,19,42
chr1,171,13687541,13688263,0.793,0.561,45,99
chr1,172,13701178,13702042,0.837,0.575,39,123
chr1,173,13705472,13705969,0.421,0.685,33,83
chr1,174,13720041,13720250,0.894,0.646,16,30
chr1,175,13866567,13866885,0.556,0.766,47,74
chr1,176,13867395,13867533,0.562,0.772,7,3
chr1,178,13874032,13875668,0.819,0.473,30,53
chr1,179,13880215,13881231,0.259,0.498,287,229
chr1,180,13884882,13886972,0.325,0.59,1723,2246
chr1,181,13888475,13889584,0.394,0.613,1026,1394
chr1,182,13898215,13898882,0.817,0.554,17,0
chr1,183,13901204,13902416,0.723,0.959,13,0
chr1,184,13985622,13985936,0.932,0.705,10,25
chr1,185,14120129,14120450,0.397,0.193,22,53
chr1,188,14490604,14491664,0.716,0.477,44,137
chr1,190,14774423,14774567,0.349,0.153,18,31
chr1,191,14775899,14777747,0.597,0.921,42,68
chr1,192,14818080,14819023,0.408,0.655,41,66
chr1,194,14867629,14869377,0.545,0.334,60,143
chr1,195,14935291,14935868,0.84,0.631,43,120
chr1,196,15029334,15029802,0.702,0.48,31,82
chr1,197,15151022,15151119,0.874,0.68,33,41
chr1,201,15235425,15235510,0.764,0.573,10,33
chr1,202,15265808,15266138,0.62,0.86,13,25
chr1,204,15372816,15373245,0.608,0.335,32,58
chr1,205,15514023,15514351,0.918,0.72,14,44
chr1,206,15705042,15705893,0.895,0.672,17,55
chr1,207,15779390,15779992,0.453,0.735,20,27
chr1,209,15795321,15795567,0.735,0.53,32,57
chr1,210,16007402,16007901,0.613,0.84,24,55
chr1,212,16034680,16034925,0.586,0.807,11,55
chr1,213,16050530,16051505,0.59,0.835,26,83
chr1,214,16063527,16064790,0.874,0.6,37,68
chr1,215,16080148,16080842,0.518,0.751,18,48
chr1,217,16256057,16256908,0.875,0.655,26,78
chr1,220,16536898,16538280,0.9,0.664,23,39
chr1,225,16830001,16830228,0.768,0.552,15,33
chr1,226,16837031,16837297,0.309,0.52,18,57
chr1,227,16949685,16951272,0.855,0.59,13,58
chr1,228,16952842,16953432,0.852,0.6,7,20
chr1,230,17174336,17175469,0.23,0.462,40,66
chr1,232,17177124,17177339,0.189,0.415,10,31
chr1,233,17409514,17409838,0.571,0.374,15,24
chr1,237,17788438,17789148,0.294,0.528,43,103
chr1,238,18019419,18019600,0.502,0.703,4,17
chr1,239,18058729,18059158,0.599,0.826,24,43
chr1,240,18567168,18567914,0.646,0.862,52,126
chr1,243,19067464,19067851,0.629,0.39,9,28
chr1,244,19233500,19234178,0.669,0.907,5,7
chr1,245,19235487,19236092,0.652,0.944,19,17
chr1,246,19264296,19264569,0.632,0.841,23,28
chr1,247,19265160,19266455,0.563,0.796,34,96
chr1,249,19347196,19348743,0.502,0.283,103,144
chr1,250,19472727,19473691,0.679,0.463,44,102
chr1,254,19541826,19542006,0.958,0.723,12,22
chr1,257,19815712,19816150,0.643,0.849,11,28
chr1,259,19859082,19859680,0.591,0.271,5,7
chr1,260,20621046,20621129,0.875,0.682,5,19
chr1,263,20737196,20738071,0.875,0.607,78,106
chr1,265,20748680,20749116,0.824,0.624,5,15
chr1,266,20794714,20794788,0.507,0.736,28,77
chr1,267,20798626,20798987,0.399,0.61,34,88
chr1,268,20819921,20821444,0.851,0.638,46,149
chr1,269,20822932,20823981,0.675,0.48,45,156
chr1,271,20840455,20840772,0.788,0.585,3,13
chr1,272,20873382,20875307,0.726,0.434,48,114
chr1,273,20876022,20876770,0.766,0.477,53,139
chr1,274,21041530,21041898,0.672,0.875,10,24
chr1,277,21124114,21124153,0.696,0.903,6,9
chr1,278,21140340,21140417,0.873,0.681,19,47
chr1,280,21328613,21329115,0.63,0.421,26,46
chr1,281,21337682,21337878,0.599,0.808,6,14
chr1,283,21422033,21422451,0.786,0.558,4,25
chr1,285,21423783,21424670,0.827,0.615,18,44
chr1,286,21436739,21437196,0.116,0.409,14,10
chr1,290,21668478,21668735,0.831,0.61,13,46
chr1,291,21799191,21800798,0.775,0.433,30,51
chr1,292,21992784,21992904,0.432,0.653,13,23
chr1,295,22559382,22560629,0.53,0.785,108,123
chr1,299,22746683,22747580,0.678,0.895,11,42
chr1,300,22763510,22764461,0.77,0.544,7,18
chr1,304,23088744,23088773,0.575,0.778,10,18
chr1,308,23633038,23635245,0.606,0.901,69,75
chr1,309,23639340,23639566,0.867,0.667,14,31
chr1,310,23785566,23786601,0.699,0.469,36,47
chr1,316,23979617,23980215,0.991,0.793,8,33
chr1,317,24140781,24141414,0.491,0.732,85,127
chr1,319,24268514,24268653,0.225,0.439,17,15
chr1,320,24418299,24418480,0.655,0.464,31,64
chr1,321,24480366,24481056,0.881,0.585,23,50
chr1,323,24609593,24610674,0.985,0.72,22,45
chr1,324,24611179,24611767,0.982,0.746,16,41
chr1,325,24624687,24626536,0.687,0.935,49,105
chr1,326,24654512,24655569,0.706,0.502,30,57
chr1,327,24665520,24666933,0.858,0.635,37,67
chr1,330,25014059,25014453,0.196,0.486,16,21
chr1,332,25024696,25024969,0.668,0.384,12,23
chr1,333,25026754,25027017,0.839,0.637,8,25
chr1,334,25079453,25080244,0.587,0.815,11,27
chr1,335,25134764,25135620,0.445,0.646,28,66
chr1,336,25186095,25187321,0.929,0.653,29,73
chr1,337,25364238,25365169,0.795,0.578,15,41
chr1,338,25588693,25589702,0.646,0.857,19,48
chr1,339,26037399,26037969,0.912,0.716,16,41
chr1,341,26146005,26146480,0.491,0.732,28,62
chr1,351,26513527,26514176,0.424,0.646,28,50
chr1,352,26515042,26515522,0.439,0.659,7,15
chr1,353,26926429,26926787,0.64,0.41,22,46
chr1,354,26927370,26927541,0.694,0.495,16,32
chr1,357,27263645,27264086,0.852,0.538,11,22
chr1,359,27572232,27573116,0.432,0.658,45,54
chr1,362,27575454,27576908,0.249,0.501,37,62
chr1,363,27577771,27578980,0.297,0.523,20,30
chr1,366,27700442,27701110,0.562,0.303,6,21
chr1,369,28070127,28070908,0.454,0.696,10,35
chr1,370,28596258,28597029,0.593,0.849,18,18
chr1,371,28837947,28838052,0.542,0.751,17,32
chr1,372,29241075,29242184,0.613,0.368,26,138
chr1,373,29401529,29401710,0.939,0.64,37,33
chr1,380,29719757,29721500,0.425,0.648,44,102
chr1,382,29900199,29901193,0.377,0.659,20,44
chr1,388,30532969,30534372,0.341,0.622,13,28
chr1,391,30623562,30624497,0.883,0.674,14,37
chr1,392,30630612,30632806,0.633,0.397,52,142
chr1,393,31048845,31050488,0.641,0.304,52,117
chr1,394,31120258,31120403,0.824,0.607,23,40
chr1,395,31157616,31157924,0.557,0.285,8,20
chr1,400,31385784,31386123,0.236,0.443,6,12
chr1,401,31513559,31513649,0.786,0.593,6,39
chr1,403,32028089,32028204,0.875,0.628,16,29
chr1,405,32062671,32065256,0.888,0.535,31,31
chr1,406,32086874,32087336,0.413,0.625,35,103
chr1,408,32153569,32154668,0.813,0.571,28,43
chr1,409,32173136,32174400,0.608,0.837,34,83
chr1,412,32300937,32301472,0.671,0.887,12,14
chr1,413,32404163,32404587,0.67,0.894,7,10
chr1,414,32436772,32437825,0.574,0.781,11,22
chr1,415,32642135,32642457,0.922,0.7,4,15
chr1,416,32649045,32649474,0.606,0.816,10,21
chr1,419,33067054,33067534,0.574,0.784,25,68
chr1,421,33693894,33695382,0.725,0.511,35,96
chr1,422,33841805,33842546,0.736,0.512,23,65
chr1,428,34420726,34421024,0.545,0.847,14,26
chr1,429,34421802,34421968,0.526,0.823,5,18
chr1,430,34422608,34424104,0.526,0.801,16,36
chr1,431,34510130,34510889,0.737,0.533,12,45
chr1,434,34788546,34788705,0.908,0.695,9,17
chr1,436,34806598,34808300,0.693,0.909,24,38
chr1,437,34829839,34829939,0.342,0.141,3,56
chr1,438,34837199,34838624,0.394,0.176,37,85
chr1,439,34839155,34840380,0.558,0.325,21,52
chr1,440,35050082,35050990,0.891,0.69,19,20
chr1,442,35531477,35532046,0.316,0.1,22,67
chr1,444,35771922,35772569,0.157,0.37,6,25
chr1,445,35853205,35853957,0.894,0.687,6,21
chr1,446,36237384,36238385,0.444,0.715,16,41
chr1,447,36239371,36240737,0.373,0.761,104,119
chr1,448,36241572,36241876,0.554,0.85,5,15
chr1,449,36345659,36345923,0.306,0.112,3,41
chr1,450,36381358,36382535,0.528,0.739,29,74
chr1,451,36453514,36453644,0.648,0.852,11,28
chr1,453,36680479,36680723,0.81,0.609,11,49
chr1,454,36681291,36682641,0.838,0.61,25,80
chr1,457,37495647,37495898,0.498,0.247,20,61
chr1,460,37942381,37942642,0.455,0.667,13,37
chr1,461,37979816,37980404,0.688,0.484,19,47
chr1,465,39285199,39288608,0.353,0.638,71,134
chr1,466,39290602,39291021,0.691,0.92,15,51
chr1,469,39810185,39810773,0.333,0.562,13,24
chr1,473,40234756,40234901,0.356,0.16,3,21
chr1,474,40628900,40629851,0.506,0.725,27,84
chr1,475,40776761,40777615,0.695,0.492,37,102
chr1,476,40903808,40904890,0.274,0.036,13,44
