chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_female	logFC	FDR	gExp_up_in_female	epi_regulation
chr1	11898931	11900042	Intergenic	-64348	ENSRNOT00000074325.1	LOC100909555	FALSE	1.138	0	FALSE	TRUE
chr1	11909558	11909590	Intergenic	-54260	ENSRNOT00000074325.1	LOC100909555	FALSE	1.138	0	FALSE	TRUE
chr1	15779390	15779992	Intergenic	-2784	ENSRNOT00000088025.1	Bclaf1	TRUE	-6.028	0.014	TRUE	TRUE
chr1	21041530	21041976	Intergenic	-79227	ENSRNOT00000079688.1	Epb41l2	TRUE	-5.79	0.024	TRUE	TRUE
chr1	78449242	78449805	Intergenic	72476	ENSRNOT00000021223.4	Arhgap35	FALSE	2.156	0	FALSE	TRUE
chr1	80072086	80073449	promoter-TSS	456	ENSRNOT00000021456.2	Gipr	TRUE	-0.74	0.008	TRUE	TRUE
chr1	81879373	81880430	intron	100421	ENSRNOT00000080840.1	Arhgef1	FALSE	0.895	0.037	FALSE	TRUE
chr1	100342108	100342393	intron	-128814	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr1	100512358	100512582	intron	41406	ENSRNOT00000067562.2	Aspdh	TRUE	-6.118	0.011	TRUE	TRUE
chr1	174366200	174366551	intron	44766	ENSRNOT00000065288.1	Nrip3	TRUE	-0.445	0.012	TRUE	TRUE
chr1	188256844	188256977	intron	116661	ENSRNOT00000075020.1	Knop1	FALSE	5.584	0.044	FALSE	TRUE
chr1	188512745	188513024	intron	-139313	ENSRNOT00000075020.1	Knop1	FALSE	5.584	0.044	FALSE	TRUE
chr1	198124288	198124929	exon	108607	ENSRNOT00000087928.1	Aldoa	TRUE	-0.652	0	TRUE	TRUE
chr1	198127133	198127693	intron	105802	ENSRNOT00000087928.1	Aldoa	TRUE	-0.652	0	TRUE	TRUE
chr1	198229110	198230411	exon	3455	ENSRNOT00000087928.1	Aldoa	TRUE	-0.652	0	TRUE	TRUE
chr1	212504181	212504723	Intergenic	74605	ENSRNOT00000025446.6	Echs1	FALSE	9.435	0	FALSE	TRUE
chr1	212505698	212505882	Intergenic	73267	ENSRNOT00000025446.6	Echs1	FALSE	9.435	0	FALSE	TRUE
chr1	214192929	214193004	intron	-23079	ENSRNOT00000023376.4	Phrf1	TRUE	-2.657	0	TRUE	TRUE
