#rn6.ensGene.name	rn6.ensGene.chrom	rn6.ensGene.strand	rn6.ensGene.txStart	rn6.ensGene.txEnd	rn6.ensGene.name2	rn6.ensemblToGeneName.value
ENSRNOT00000054937.5	chr1	+	201055643	201329612	ENSRNOG00000020457.8	Tacc2
ENSRNOT00000047161.4	chr1	+	201055643	201329612	ENSRNOG00000020457.8	Tacc2
ENSRNOT00000077908.1	chr1	+	201117629	201329622	ENSRNOG00000020457.8	Tacc2
ENSRNOT00000090143.1	chr1	+	201256909	201329171	ENSRNOG00000020457.8	Tacc2
ENSRNOT00000065001.3	chr1	+	268189276	268620331	ENSRNOG00000028832.4	Sorcs3
ENSRNOT00000081637.1	chr1	-	41832829	42077535	ENSRNOG00000018960.7	Syne1
ENSRNOT00000058334.4	chr1	+	75428026	75620911	ENSRNOG00000026764.5	Pla2g4cl1
ENSRNOT00000091760.1	chr1	-	100608965	100669684	ENSRNOG00000020014.7	Myh14
ENSRNOT00000027132.5	chr1	-	100608974	100671074	ENSRNOG00000020014.7	Myh14
ENSRNOT00000031488.6	chr1	-	125553438	125967756	ENSRNOG00000023496.6	Fam189a1
ENSRNOT00000018021.5	chr1	-	142525045	142615673	ENSRNOG00000012002.6	Iqgap1
ENSRNOT00000035770.6	chr1	+	192933539	192965158	ENSRNOG00000012806.8	Rbbp6
ENSRNOT00000048704.5	chr1	+	226435978	226493247	ENSRNOG00000026432.7	Syt7
ENSRNOT00000036232.6	chr1	+	226436089	226493377	ENSRNOG00000026432.7	Syt7
ENSRNOT00000035576.6	chr1	+	226436138	226493179	ENSRNOG00000026432.7	Syt7
ENSRNOT00000036180.6	chr1	+	226436138	226493179	ENSRNOG00000026432.7	Syt7
ENSRNOT00000036168.6	chr1	+	226436138	226493179	ENSRNOG00000026432.7	Syt7
ENSRNOT00000047964.4	chr1	+	226436138	226493179	ENSRNOG00000026432.7	Syt7
ENSRNOT00000036283.6	chr1	+	226436138	226493179	ENSRNOG00000026432.7	Syt7
ENSRNOT00000007429.8	chr1	+	226436138	226493179	ENSRNOG00000026432.7	Syt7
ENSRNOT00000019893.6	chr1	+	5240179	5313054	ENSRNOG00000014450.7	Shprh
ENSRNOT00000088292.1	chr1	+	5240196	5313041	ENSRNOG00000014450.7	Shprh
ENSRNOT00000079250.1	chr1	+	13595294	13705396	ENSRNOG00000060603.1	Nhsl1
ENSRNOT00000017401.5	chr1	+	15620652	15748196	ENSRNOG00000012701.6	Map7
ENSRNOT00000079845.1	chr1	+	15642152	15748203	ENSRNOG00000012701.6	Map7
ENSRNOT00000020988.7	chr1	-	17446416	18058055	ENSRNOG00000047605.2	Ptprk
ENSRNOT00000079138.1	chr1	+	18491383	19143269	ENSRNOG00000011134.7	Lama2
ENSRNOT00000014917.7	chr1	+	18491383	19143269	ENSRNOG00000011134.7	Lama2
ENSRNOT00000017831.5	chr1	+	28301921	28390837	ENSRNOG00000013323.6	Rnf217
ENSRNOT00000018849.8	chr1	+	29225706	29385199	ENSRNOG00000014004.8	Ncoa7
ENSRNOT00000061790.3	chr1	+	37743146	37774015	ENSRNOG00000017826.6	Mtrr
ENSRNOT00000024041.5	chr1	+	37744096	37773448	ENSRNOG00000017826.6	Mtrr
ENSRNOT00000022046.3	chr1	+	39811313	39923057	ENSRNOG00000016368.4	Ppp1r14c
ENSRNOT00000060767.4	chr1	+	40816106	40906581	ENSRNOG00000019549.8	Akap12
ENSRNOT00000083702.1	chr1	+	40879746	40906581	ENSRNOG00000019549.8	Akap12
ENSRNOT00000026482.6	chr1	+	40891596	40906573	ENSRNOG00000019549.8	Akap12
ENSRNOT00000065733.3	chr1	+	44019058	44120615	ENSRNOG00000016919.7	Scaf8
ENSRNOT00000083425.1	chr1	+	44019206	44119980	ENSRNOG00000016919.7	Scaf8
ENSRNOT00000022939.7	chr1	+	45923221	46233374	ENSRNOG00000017030.7	Arid1b
ENSRNOT00000084454.1	chr1	+	45923221	46232119	ENSRNOG00000017030.7	Arid1b
ENSRNOT00000068457.2	chr1	+	47162393	47202549	ENSRNOG00000018158.6	Tmem181
ENSRNOT00000021840.4	chr1	+	48176105	48264477	ENSRNOG00000014997.4	Igf2r
ENSRNOT00000043474.3	chr1	-	52360295	52544450	ENSRNOG00000011310.8	Pde10a
ENSRNOT00000067142.4	chr1	-	52361037	52495582	ENSRNOG00000011310.8	Pde10a
ENSRNOT00000017809.5	chr1	+	53360156	53499445	ENSRNOG00000013194.6	Rps6ka2
ENSRNOT00000087308.1	chr1	+	62753048	62935789	ENSRNOG00000058286.1	LOC682419
ENSRNOT00000087669.1	chr1	+	63759644	64013263	ENSRNOG00000053260.1	Lilrb3l
ENSRNOT00000087957.1	chr1	+	63842276	64013289	ENSRNOG00000053260.1	Lilrb3l
ENSRNOT00000086274.1	chr1	+	64928502	65199263	ENSRNOG00000055298.1	Vom2r80
ENSRNOT00000068611.3	chr1	+	65906343	66159639	ENSRNOG00000050831.2	Vom2r35
ENSRNOT00000087668.1	chr1	+	70253649	70265524	ENSRNOG00000015071.4	Zim1
ENSRNOT00000002046.7	chr1	-	76252329	76780230	ENSRNOG00000047986.2	Sult2a1
ENSRNOT00000052129.2	chr1	-	76529120	76722965	ENSRNOG00000047986.2	Sult2a1
ENSRNOT00000088393.1	chr1	-	79680203	79708835	ENSRNOG00000038101.5	Psg19
ENSRNOT00000025913.6	chr1	-	80730498	80744831	ENSRNOG00000043416.2	Bcl3
ENSRNOT00000065865.3	chr1	+	81779379	81797236	ENSRNOG00000020130.7	Arhgef1
ENSRNOT00000080143.1	chr1	+	81779464	81797236	ENSRNOG00000020130.7	Arhgef1
ENSRNOT00000089592.1	chr1	+	81779477	81796572	ENSRNOG00000020130.7	Arhgef1
ENSRNOT00000080840.1	chr1	+	81779481	81796900	ENSRNOG00000020130.7	Arhgef1
ENSRNOT00000035648.7	chr1	-	82831951	82901917	ENSRNOG00000022679.7	LOC100909662
ENSRNOT00000048677.4	chr1	+	88078349	88094330	ENSRNOG00000033744.4	Rasgrp4
ENSRNOT00000019463.5	chr1	-	94346513	94404211	ENSRNOG00000014463.5	Uri1
ENSRNOT00000033648.4	chr1	-	98562345	98570949	ENSRNOG00000021474.5	Siglec5
ENSRNOT00000067430.3	chr1	-	101710958	101773508	ENSRNOG00000021046.8	Sult2b1
ENSRNOT00000046529.5	chr1	+	104576588	104941552	ENSRNOG00000014530.7	Nav2
ENSRNOT00000078477.1	chr1	+	104635988	104940171	ENSRNOG00000014530.7	Nav2
ENSRNOT00000056030.4	chr1	+	105349068	106218958	ENSRNOG00000015675.7	Nell1
ENSRNOT00000042952.5	chr1	+	106896789	106968885	ENSRNOG00000015972.8	Ano5
ENSRNOT00000064193.2	chr1	+	106896789	106968885	ENSRNOG00000015972.8	Ano5
ENSRNOT00000019971.5	chr1	-	112158529	112436794	ENSRNOG00000014862.6	Gabrg3
ENSRNOT00000081831.1	chr1	+	113034226	113265364	ENSRNOG00000060599.1	Gabrb3
ENSRNOT00000077877.1	chr1	+	113034265	113264982	ENSRNOG00000060599.1	Gabrb3
ENSRNOT00000077594.1	chr1	+	113034265	113265364	ENSRNOG00000060599.1	Gabrb3
ENSRNOT00000088459.1	chr1	+	114258718	114346800	ENSRNOG00000011945.7	Cyfip1
ENSRNOT00000016376.5	chr1	+	114258792	114347137	ENSRNOG00000011945.7	Cyfip1
ENSRNOT00000066380.1	chr1	-	124772595	124803363	ENSRNOG00000015822.5	Klf13
ENSRNOT00000015845.7	chr1	+	126749507	126947392	ENSRNOG00000011526.7	Pcsk6
ENSRNOT00000055877.3	chr1	+	127802977	128124171	ENSRNOG00000037080.3	Adamts17
ENSRNOT00000019267.6	chr1	+	128924965	129206516	ENSRNOG00000014187.6	Igf1r
ENSRNOT00000083590.1	chr1	+	137799184	138472908	ENSRNOG00000022610.6	Agbl1
ENSRNOT00000047408.5	chr1	+	144601409	144740735	ENSRNOG00000032723.5	Eftud1
ENSRNOT00000037996.5	chr1	+	145715968	145760623	ENSRNOG00000025088.5	Tmc3
ENSRNOT00000018098.5	chr1	-	146745858	146823762	ENSRNOG00000013506.5	Zfand6
ENSRNOT00000074103.2	chr1	+	147713897	147888007	ENSRNOG00000024016.6	Cyp2c6v1
ENSRNOT00000022578.5	chr1	-	152886995	153096269	ENSRNOG00000016815.5	Tmem135
ENSRNOT00000015181.6	chr1	+	161401526	161880923	ENSRNOG00000011151.6	Tenm4
ENSRNOT00000016783.6	chr1	-	162519520	162533893	ENSRNOG00000012584.7	Aamdc
ENSRNOT00000043788.6	chr1	-	163545325	163611299	ENSRNOG00000015560.8	RGD1310712
ENSRNOT00000024281.5	chr1	-	164623598	164659992	ENSRNOG00000017976.5	Slco2b1
ENSRNOT00000091807.1	chr1	-	164626082	164671577	ENSRNOG00000017976.5	Slco2b1
ENSRNOT00000082697.1	chr1	-	165665908	165680206	ENSRNOG00000018627.7	Plekhb1
ENSRNOT00000025245.5	chr1	-	165665910	165680176	ENSRNOG00000018627.7	Plekhb1
ENSRNOT00000088110.1	chr1	+	171797515	171969099	ENSRNOG00000019667.7	Ppfibp2
ENSRNOT00000073864.2	chr1	+	173012246	173015511	ENSRNOG00000047847.2	LOC100912217
ENSRNOT00000013126.7	chr1	-	174948912	175420106	ENSRNOG00000009812.7	Sbf2
ENSRNOT00000085326.1	chr1	+	177183208	177232691	ENSRNOG00000016210.7	Micalcl
ENSRNOT00000043017.4	chr1	+	177193734	177232673	ENSRNOG00000016210.7	Micalcl
ENSRNOT00000087917.1	chr1	+	185578747	185627375	ENSRNOG00000051795.1	AC128610.1
ENSRNOT00000022726.5	chr1	+	190780235	190842324	ENSRNOG00000016448.7	Eef2k
ENSRNOT00000080534.1	chr1	-	191857555	191948977	ENSRNOG00000060008.1	Cog7
ENSRNOT00000077869.1	chr1	-	191889327	191948975	ENSRNOG00000060008.1	Cog7
ENSRNOT00000022365.7	chr1	+	197098602	197264748	ENSRNOG00000016635.7	LOC361646
ENSRNOT00000083248.1	chr1	+	197128410	197265840	ENSRNOG00000016635.7	LOC361646
ENSRNOT00000088606.1	chr1	+	199225099	199247988	ENSRNOG00000055028.1	Setd1a
ENSRNOT00000078400.1	chr1	+	206527986	206573249	ENSRNOG00000057633.1	AABR07005921.1
ENSRNOT00000054890.4	chr1	+	211732712	211921099	ENSRNOG00000017635.7	Inpp5a
ENSRNOT00000044393.4	chr1	-	213908981	213921208	ENSRNOG00000015830.6	Ano9
ENSRNOT00000027195.6	chr1	-	214954552	214971929	ENSRNOG00000020044.7	Mob2
ENSRNOT00000091603.1	chr1	+	217039754	217066751	ENSRNOG00000059303.1	Gm498
ENSRNOT00000083942.1	chr1	+	219144204	219183963	ENSRNOG00000017703.6	Unc93b1
ENSRNOT00000023789.5	chr1	-	219145458	219168177	ENSRNOG00000017512.7	Aldh3b1
ENSRNOT00000085312.1	chr1	-	219145679	219186860	ENSRNOG00000017512.7	Aldh3b1
ENSRNOT00000079984.1	chr1	-	220190066	220203532	ENSRNOG00000019950.4	Peli3
ENSRNOT00000027038.3	chr1	-	220193402	220204032	ENSRNOG00000019950.4	Peli3
ENSRNOT00000031678.3	chr1	-	221248909	221251329	ENSRNOG00000023318.3	Tigd3
ENSRNOT00000016804.6	chr1	-	229602498	229639187	ENSRNOG00000012524.6	Zfp91
ENSRNOT00000048193.1	chr1	-	230686209	230687157	ENSRNOG00000045761.1	Olr380
ENSRNOT00000068645.4	chr1	-	242168461	242441247	ENSRNOG00000015232.7	Pip5k1b
ENSRNOT00000076537.1	chr1	-	242168734	242440885	ENSRNOG00000015232.7	Pip5k1b
ENSRNOT00000019816.6	chr1	-	246380888	246785360	ENSRNOG00000014768.8	Glis3
ENSRNOT00000077135.1	chr1	-	250557043	250626844	ENSRNOG00000012196.5	Asah2
ENSRNOT00000016688.4	chr1	-	250559466	250630677	ENSRNOG00000012196.5	Asah2
ENSRNOT00000023562.6	chr1	+	255842782	255863142	ENSRNOG00000017396.6	March5
ENSRNOT00000020620.6	chr1	-	256881770	256914260	ENSRNOG00000015235.6	Fra10ac1
ENSRNOT00000021876.6	chr1	+	263186234	263242468	ENSRNOG00000016302.6	Cnnm1
ENSRNOT00000071243.1	chr1	+	266333439	266345697	ENSRNOG00000049308.1	Sfxn2
