chr,bin,start,end,mean_female,mean_male,female_cov,male_cov,num_cpg
chr1,2,219317,219319,0.849,0.642,24,46,4
chr1,11,1109188,1109190,0.783,0.551,5,5,3
chr1,13,1110946,1110948,0.643,0.388,3,3,3
chr1,15,1118120,1118122,0.254,0.653,14,35,4
chr1,17,1444152,1444154,0.471,0.698,5,15,3
chr1,28,1702086,1702088,0.681,0.438,10,24,3
chr1,31,1772870,1772872,0.378,0.64,15,35,7
chr1,36,2490478,2490480,0.556,0.76,19,65,11
chr1,37,2533658,2533660,0.515,0.72,32,69,9
chr1,38,2567177,2567179,0.775,0.571,13,44,5
chr1,39,2586400,2586402,0.923,0.678,17,26,5
chr1,42,2861887,2861889,0.491,0.274,13,27,4
chr1,43,2911429,2911431,0.789,0.574,49,134,14
chr1,46,2980342,2980344,0.77,0.496,17,53,8
chr1,47,2981303,2981305,0.871,0.634,7,6,3
chr1,48,2993954,2993956,0.732,0.941,72,163,21
chr1,49,3043829,3043831,0.576,0.767,22,32,6
chr1,55,3354358,3354360,0.541,0.755,6,20,3
chr1,56,3472087,3472089,0.833,0.578,5,9,4
chr1,59,3799221,3799223,0.858,0.53,9,21,3
chr1,62,3978053,3978055,0.636,0.84,7,36,6
chr1,65,3985212,3985214,0.453,0.689,7,31,4
chr1,67,4018031,4018033,0.513,0.711,41,99,11
chr1,70,4343908,4343910,0.688,0.882,15,32,4
chr1,71,4344635,4344637,0.675,0.881,12,25,4
chr1,77,4585850,4585852,0.699,0.91,12,20,4
chr1,79,4640617,4640619,0.38,0.594,13,39,5
chr1,81,4756815,4756817,0.677,0.896,27,64,9
chr1,82,5197883,5197885,0.611,0.8,7,16,3
chr1,83,5239550,5239552,0.925,0.693,3,9,3
chr1,87,5398532,5398534,0.65,0.883,7,21,4
chr1,89,5402646,5402648,0.811,0.531,15,31,7
chr1,93,5557173,5557175,0.5,0.702,5,15,3
chr1,96,5725612,5725614,0.822,0.613,8,9,3
chr1,105,6161022,6161024,0.637,0.838,16,48,5
chr1,107,6374035,6374037,0.708,0.913,3,6,3
chr1,108,6374526,6374528,0.715,0.922,11,24,4
chr1,110,6461194,6461196,0.867,0.633,14,41,9
chr1,111,6575776,6575778,0.429,0.626,8,30,7
chr1,112,6624830,6624832,0.178,0.379,8,33,4
chr1,113,6694904,6694906,0.281,0.737,20,58,7
chr1,114,6710134,6710136,0.764,0.551,4,5,4
chr1,115,6710699,6710701,0.737,0.521,6,17,3
chr1,116,6765949,6765951,0.53,0.774,23,47,10
chr1,118,6877889,6877891,0.592,0.828,33,103,12
chr1,119,7028239,7028241,0.81,0.602,5,27,3
chr1,120,7041512,7041514,0.506,0.703,14,41,5
chr1,121,7082404,7082406,0.786,0.554,59,145,17
chr1,122,7218973,7218975,0.727,0.499,151,370,46
chr1,123,7221625,7221627,0.429,0.639,57,160,22
chr1,124,7253634,7253636,0.522,0.713,12,28,5
chr1,125,7264419,7264421,0.775,0.541,45,98,12
chr1,127,7350638,7350640,0.75,0.518,13,35,6
chr1,129,7431258,7431260,0.56,0.816,3,7,3
chr1,130,7431785,7431787,0.656,0.876,10,17,3
chr1,133,7492011,7492013,0.594,0.795,7,19,3
chr1,134,7492657,7492659,0.504,0.759,6,7,3
chr1,135,7493171,7493173,0.593,0.801,9,22,5
chr1,137,7658317,7658319,0.385,0.115,11,16,3
chr1,139,7725431,7725433,0.011,0.341,5,29,4
chr1,140,7842708,7842710,0.716,0.49,23,51,7
chr1,141,8039474,8039476,0.524,0.801,33,53,7
chr1,145,8230051,8230053,0.609,0.847,18,47,5
chr1,146,8266903,8266905,0.733,0.923,15,50,7
chr1,147,8271189,8271191,0.706,0.503,19,43,5
chr1,149,8352658,8352660,0.563,0.819,10,25,3
