chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_femaleVSall	gExp_up_in_femaleVSmale	deVSall
chr1	15779390	15779992	Intergenic	-2784	ENSRNOT00000088025.1	Bclaf1	TRUE	TRUE	TRUE
chr1	21041530	21041976	Intergenic	-79227	ENSRNOT00000079688.1	Epb41l2	TRUE	TRUE	TRUE
chr1	80072086	80073449	promoter-TSS	456	ENSRNOT00000021456.2	Gipr	TRUE	TRUE	FALSE
chr1	81879373	81880430	intron	100421	ENSRNOT00000080840.1	Arhgef1	FALSE	FALSE	FALSE
chr1	188256844	188256977	intron	116661	ENSRNOT00000075020.1	Knop1	FALSE	FALSE	TRUE
chr1	188512745	188513024	intron	-139313	ENSRNOT00000075020.1	Knop1	FALSE	FALSE	TRUE
chr1	198229110	198230411	exon	3455	ENSRNOT00000087928.1	Aldoa	TRUE	TRUE	FALSE
chr1	252722643	252723888	Intergenic	126491	ENSRNOT00000025845.4	Lipa	TRUE	TRUE	FALSE
chr1	252724577	252725416	Intergenic	124760	ENSRNOT00000025845.4	Lipa	TRUE	TRUE	FALSE
chr1	267568667	267568936	intron	-105096	ENSRNOT00000016645.6	Col17a1	TRUE	TRUE	TRUE
chr1	267569973	267570855	intron	-106709	ENSRNOT00000016645.6	Col17a1	TRUE	TRUE	TRUE
chr10	3316884	3318162	intron	-24975	ENSRNOT00000086929.1	Mpv17l	TRUE	TRUE	FALSE
chr10	38140754	38142542	intron	-116711	ENSRNOT00000042688.2	LOC100362027	TRUE	TRUE	TRUE
chr10	46594075	46594169	promoter-TSS	-1113	ENSRNOT00000047053.6	Srebf1	TRUE	TRUE	FALSE
chr10	49148208	49148616	exon	-110780	ENSRNOT00000091100.1	Fbxw10	TRUE	TRUE	TRUE
chr10	64364941	64365403	intron	-24106	ENSRNOT00000082825.1	Vps53	TRUE	TRUE	FALSE
chr10	64413793	64414436	intron	-73048	ENSRNOT00000082825.1	Vps53	TRUE	TRUE	FALSE
chr10	82003631	82005031	intron	112290	ENSRNOT00000051497.5	Abcc3	FALSE	FALSE	FALSE
chr10	82686617	82687026	Intergenic	-58978	ENSRNOT00000005311.6	Col1a1	TRUE	TRUE	FALSE
chr10	82791822	82791968	Intergenic	46096	ENSRNOT00000005311.6	Col1a1	TRUE	TRUE	FALSE
chr10	85051230	85051912	Intergenic	-2240	ENSRNOT00000012538.5	Tbx21	TRUE	TRUE	TRUE
chr10	85086831	85087403	Intergenic	-37786	ENSRNOT00000012538.5	Tbx21	TRUE	TRUE	TRUE
chr10	104409632	104410187	Intergenic	-27737	ENSRNOT00000035001.6	n/a	TRUE	TRUE	TRUE
chr11	47273008	47273946	Intergenic	73450	ENSRNOT00000079598.1	Nxpe3	FALSE	FALSE	FALSE
chr13	44635511	44636412	intron	20410	ENSRNOT00000082439.1	Rab3gap1	TRUE	TRUE	TRUE
chr13	44676663	44676951	intron	61256	ENSRNOT00000082439.1	Rab3gap1	TRUE	TRUE	TRUE
chr13	89465644	89466663	Intergenic	79029	ENSRNOT00000078402.1	Pcp4l1	TRUE	TRUE	FALSE
chr13	89671525	89676364	Intergenic	-128762	ENSRNOT00000078402.1	Pcp4l1	TRUE	TRUE	FALSE
chr13	89676918	89677382	Intergenic	-131968	ENSRNOT00000078402.1	Pcp4l1	TRUE	TRUE	FALSE
