chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_femaleVSall	gExp_up_in_femaleVSmale	deVSall
chr1	80072086	80073449	promoter-TSS	456	ENSRNOT00000021456.2	Gipr	TRUE	TRUE	TRUE
chr10	38140754	38142542	intron	-116711	ENSRNOT00000042688.2	LOC100362027	TRUE	TRUE	TRUE
chr10	49148208	49148616	exon	-110780	ENSRNOT00000091100.1	Fbxw10	TRUE	TRUE	TRUE
chr2	154226746	154227100	Intergenic	107433	ENSRNOT00000057724.4	Plch1	TRUE	TRUE	TRUE
chr2	154227707	154228122	Intergenic	106442	ENSRNOT00000057724.4	Plch1	TRUE	TRUE	TRUE
chr2	154477449	154478029	Intergenic	-143383	ENSRNOT00000057724.4	Plch1	TRUE	TRUE	TRUE
chr20	4900369	4900938	intron	-93035	ENSRNOT00000087861.1	Vars	TRUE	TRUE	TRUE
chr4	155600141	155600558	intron	-54560	ENSRNOT00000087883.1	Foxj2	TRUE	TRUE	TRUE
chr6	134945484	134947111	Intergenic	103431	ENSRNOT00000009556.7	Hsp90aa1	FALSE	FALSE	TRUE
chr6	134968478	134969427	intron	80776	ENSRNOT00000009556.7	Hsp90aa1	FALSE	FALSE	TRUE
chr7	140428337	140430348	intron	-138546	ENSRNOT00000082699.1	Adcy6	FALSE	FALSE	TRUE
chr8	78276169	78276305	Intergenic	120886	ENSRNOT00000087270.1	Tcf12	TRUE	TRUE	TRUE
chr9	50597839	50598143	intron	-66157	ENSRNOT00000015393.5	Tpp2	FALSE	FALSE	TRUE
